disease_id,disease,doid,doid_uri
1,Lymphoid Leukemia,1037,http://purl.obolibrary.org/obo/DOID_1037
2,Gastrointestinal Stromal Tumor,9253,http://purl.obolibrary.org/obo/DOID_9253
3,Acute Myeloid Leukemia,9119,http://purl.obolibrary.org/obo/DOID_9119
4,Chronic Myeloid Leukemia,8552,http://purl.obolibrary.org/obo/DOID_8552
5,Bone Marrow Cancer,4960,http://purl.obolibrary.org/obo/DOID_4960
6,Acute Leukemia,12603,http://purl.obolibrary.org/obo/DOID_12603
7,Melanoma,1909,http://purl.obolibrary.org/obo/DOID_1909
8,Lung Non-small Cell Carcinoma,3908,http://purl.obolibrary.org/obo/DOID_3908
9,Polycythemia Vera,8997,http://purl.obolibrary.org/obo/DOID_8997
10,Colorectal Cancer,9256,http://purl.obolibrary.org/obo/DOID_9256
11,Inflammatory Myofibroblastic Tumor,50905,http://purl.obolibrary.org/obo/DOID_50905
12,Neuroblastoma,769,http://purl.obolibrary.org/obo/DOID_769
13,Cancer,162,http://purl.obolibrary.org/obo/DOID_162
14,Medullary Thyroid Carcinoma,3973,http://purl.obolibrary.org/obo/DOID_3973
15,Thyroid Cancer,1781,http://purl.obolibrary.org/obo/DOID_1781
16,Papillary Thyroid Carcinoma,3969,http://purl.obolibrary.org/obo/DOID_3969
17,Lung Adenocarcinoma,3910,http://purl.obolibrary.org/obo/DOID_3910
18,Acute Myeloid Leukemia With Mutated NPM1,81089,http://purl.obolibrary.org/obo/DOID_81089
19,Bladder Carcinoma,4007,http://purl.obolibrary.org/obo/DOID_4007
20,Glioblastoma,3068,http://purl.obolibrary.org/obo/DOID_3068
21,Ovarian Cancer,2394,http://purl.obolibrary.org/obo/DOID_2394
22,Stomach Cancer,10534,http://purl.obolibrary.org/obo/DOID_10534
23,Breast Cancer,1612,http://purl.obolibrary.org/obo/DOID_1612
24,Lung Cancer,1324,http://purl.obolibrary.org/obo/DOID_1324
25,T-cell Lymphoblastic Leukemia/lymphoma,715,http://purl.obolibrary.org/obo/DOID_715
26,Estrogen-receptor Positive Breast Cancer,60075,http://purl.obolibrary.org/obo/DOID_60075
27,Cholangiocarcinoma,4947,http://purl.obolibrary.org/obo/DOID_4947
28,Malignant Anus Melanoma,14145,http://purl.obolibrary.org/obo/DOID_14145
29,Acute Promyelocytic Leukemia,60318,http://purl.obolibrary.org/obo/DOID_60318
30,Invasive Bladder Transitional Cell Carcinoma,6477,http://purl.obolibrary.org/obo/DOID_6477
31,Myelodysplastic Syndrome,50908,http://purl.obolibrary.org/obo/DOID_50908
32,Malignant Astrocytoma,3069,http://purl.obolibrary.org/obo/DOID_3069
33,Head And Neck Squamous Cell Carcinoma,5520,http://purl.obolibrary.org/obo/DOID_5520
34,Mantle Cell Lymphoma,50746,http://purl.obolibrary.org/obo/DOID_50746
35,Gastric Adenosquamous Carcinoma,5635,http://purl.obolibrary.org/obo/DOID_5635
36,Multiple Myeloma,9538,http://purl.obolibrary.org/obo/DOID_9538
37,Acute Lymphoblastic Leukemia,9952,http://purl.obolibrary.org/obo/DOID_9952
38,Fibrolamellar Carcinoma,5015,http://purl.obolibrary.org/obo/DOID_5015
39,Diffuse Large B-cell Lymphoma,50745,http://purl.obolibrary.org/obo/DOID_50745
40,Prostate Cancer,10283,http://purl.obolibrary.org/obo/DOID_10283
41,Ovarian Carcinoma,4001,http://purl.obolibrary.org/obo/DOID_4001
42,Clear Cell Renal Cell Carcinoma,4467,http://purl.obolibrary.org/obo/DOID_4467
43,Ewing Sarcoma,3369,http://purl.obolibrary.org/obo/DOID_3369
44,Follicular Lymphoma,50873,http://purl.obolibrary.org/obo/DOID_50873
45,Chronic Lymphocytic Leukemia,1040,http://purl.obolibrary.org/obo/DOID_1040
46,Colon Carcinoma,1520,http://purl.obolibrary.org/obo/DOID_1520
47,Prostate Carcinoma,10286,http://purl.obolibrary.org/obo/DOID_10286
48,Hematologic Cancer,2531,http://purl.obolibrary.org/obo/DOID_2531
49,Esophagus Adenocarcinoma,4914,http://purl.obolibrary.org/obo/DOID_4914
50,Cervical Adenocarcinoma,3702,http://purl.obolibrary.org/obo/DOID_3702
51,Uveal Melanoma,6039,http://purl.obolibrary.org/obo/DOID_6039
52,Renal Cell Carcinoma,4450,http://purl.obolibrary.org/obo/DOID_4450
53,Epithelial Ovarian Cancer,2152,http://purl.obolibrary.org/obo/DOID_2152
54,T-cell Acute Lymphoblastic Leukemia,5603,http://purl.obolibrary.org/obo/DOID_5603
55,Barrett's Adenocarcinoma,7941,http://purl.obolibrary.org/obo/DOID_7941
56,Cervical Squamous Cell Carcinoma,3744,http://purl.obolibrary.org/obo/DOID_3744
57,Brain Glioblastoma Multiforme,3073,http://purl.obolibrary.org/obo/DOID_3073
58,Granulosa Cell Tumor,2999,http://purl.obolibrary.org/obo/DOID_2999
59,B-lymphoblastic Leukemia/lymphoma,80630,http://purl.obolibrary.org/obo/DOID_80630
60,Thymic Carcinoma,3284,http://purl.obolibrary.org/obo/DOID_3284
61,Oligodendroglioma,3181,http://purl.obolibrary.org/obo/DOID_3181
62,Follicular Thyroid Carcinoma,3962,http://purl.obolibrary.org/obo/DOID_3962
63,Gastric Adenocarcinoma,3717,http://purl.obolibrary.org/obo/DOID_3717
64,Prostate Adenocarcinoma,2526,http://purl.obolibrary.org/obo/DOID_2526
65,Pancreatic Adenocarcinoma,4074,http://purl.obolibrary.org/obo/DOID_4074
66,Small-cell Carcinoma Of The Ovary Of Hypercalcemic Type,7651,http://purl.obolibrary.org/obo/DOID_7651
67,Acral Lentiginous Melanoma,6367,http://purl.obolibrary.org/obo/DOID_6367
68,Skin Melanoma,8923,http://purl.obolibrary.org/obo/DOID_8923
69,Esophagus Squamous Cell Carcinoma,3748,http://purl.obolibrary.org/obo/DOID_3748
70,Myeloid Neoplasm,70004,http://purl.obolibrary.org/obo/DOID_70004
71,Her2-receptor Positive Breast Cancer,60079,http://purl.obolibrary.org/obo/DOID_60079
72,Ovarian Serous Carcinoma,50933,http://purl.obolibrary.org/obo/DOID_50933
73,Peripheral T-cell Lymphoma,50749,http://purl.obolibrary.org/obo/DOID_50749
74,Oral Squamous Cell Carcinoma,50866,http://purl.obolibrary.org/obo/DOID_50866
75,Peritoneal Mesothelioma,1788,http://purl.obolibrary.org/obo/DOID_1788
76,Colon Cancer,219,http://purl.obolibrary.org/obo/DOID_219
77,Parietal Lobe Ependymoma,50903,http://purl.obolibrary.org/obo/DOID_50903
78,Cervical Cancer,4362,http://purl.obolibrary.org/obo/DOID_4362
79,Osteosarcoma,3347,http://purl.obolibrary.org/obo/DOID_3347
