evidence_id,disease_id
1,1
2,2
4,3
5,4
6,4
7,5
8,6
10,7
11,3
12,7
13,7
14,7
15,2
16,2
17,8
18,3
19,9
20,9
21,7
22,7
23,7
24,3
25,3
26,3
27,10
30,7
31,3
32,11
33,8
34,7
35,8
36,10
37,12
38,12
39,13
40,8
41,8
42,7
43,2
44,2
45,2
46,2
47,2
48,12
49,3
50,3
51,3
52,3
53,2
56,3
57,3
58,7
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,3
70,2
71,7
73,7
74,14
75,14
76,14
77,14
78,14
79,15
80,16
82,7
83,10
86,7
87,10
88,10
89,10
90,7
91,17
92,10
93,7
94,7
95,7
96,10
97,7
98,10
99,10
102,16
103,10
104,7
105,16
106,16
107,16
108,18
109,3
110,3
111,3
112,3
113,3
114,3
115,3
116,3
117,3
118,3
119,3
120,3
122,3
123,10
124,10
125,12
126,10
127,3
128,3
129,3
130,3
131,3
134,10
135,10
136,10
137,3
138,10
139,3
141,8
142,12
143,12
144,19
145,10
146,3
147,3
148,3
149,3
150,3
151,3
152,3
153,3
154,8
155,19
156,3
157,3
158,3
159,3
160,3
162,3
163,3
165,3
166,3
167,3
168,3
169,3
170,3
171,3
172,20
173,3
174,3
175,3
176,3
177,3
179,3
180,3
181,3
182,3
183,3
184,3
185,3
186,3
187,3
188,3
189,3
190,3
191,3
192,3
193,3
194,10
195,3
196,3
198,3
199,3
201,3
202,3
203,3
204,3
205,3
206,3
210,3
211,21
212,21
213,4
214,3
215,8
219,22
220,4
221,23
222,3
223,3
224,3
225,2
227,24
228,24
229,8
231,23
232,3
233,4
234,4
235,4
236,17
237,17
238,8
239,8
240,8
241,23
242,23
243,23
244,23
245,23
246,23
247,3
248,3
249,2
250,10
251,17
258,10
259,3
260,4
261,4
262,17
263,25
264,26
266,13
267,8
268,8
269,8
270,8
271,8
272,8
273,8
274,8
275,8
276,8
277,8
278,8
279,23
280,23
281,23
282,23
283,23
284,23
285,23
286,23
287,23
288,23
289,23
290,23
291,23
292,23
293,23
294,23
295,27
296,27
297,3
298,3
299,3
301,17
302,28
303,8
304,2
305,8
306,10
307,20
308,20
309,20
310,23
311,23
314,23
316,29
317,23
319,23
320,30
322,3
323,3
324,3
327,3
328,3
329,31
330,31
331,3
332,31
333,2
334,24
336,10
337,8
338,3
339,31
340,3
342,8
343,20
344,4
347,8
348,32
349,20
350,3
352,31
354,8
355,8
356,23
357,33
358,34
359,22
360,22
361,22
362,22
363,23
365,35
367,8
368,8
369,8
370,8
371,3
372,3
373,3
374,31
375,3
376,2
377,36
378,8
380,8
381,8
382,8
383,8
384,10
387,10
388,10
389,23
390,23
391,23
392,23
393,23
395,23
396,23
397,23
398,23
399,23
400,31
401,31
403,37
405,38
407,39
408,39
409,39
411,3
412,40
413,8
414,40
415,3
416,41
417,31
418,42
419,3
420,42
421,3
422,42
423,39
425,31
426,3
427,3
428,42
429,3
430,3
431,43
432,39
433,44
435,44
436,45
439,7
440,8
441,8
442,8
443,8
444,8
445,46
446,10
447,40
448,47
449,3
450,3
451,3
452,20
453,7
454,13
455,48
456,49
457,50
458,51
459,42
460,52
461,42
462,16
463,36
464,53
465,53
466,41
467,3
468,3
469,54
470,55
471,56
472,33
473,33
474,57
475,43
476,47
477,19
478,43
479,58
480,20
481,32
482,20
483,32
484,59
485,4
486,60
487,36
488,36
489,36
490,61
491,20
492,23
493,23
494,34
495,45
496,36
497,62
498,62
499,52
500,23
501,23
502,23
503,23
504,63
505,64
506,10
507,40
508,37
509,3
510,45
511,65
512,66
513,17
514,67
515,68
516,20
517,33
518,33
519,69
520,59
521,31
522,70
523,33
524,33
525,33
526,33
527,17
528,71
529,71
531,13
532,38
622,65
623,72
624,59
625,37
626,37
627,73
628,73
629,59
630,54
631,54
632,54
633,54
635,54
636,54
637,4
638,4
639,4
640,59
641,74
642,24
644,19
645,23
646,8
647,40
648,40
649,75
650,40
651,2
652,2
654,2
655,16
656,16
657,15
658,15
659,8
660,41
661,76
662,53
664,53
665,77
666,67
667,37
668,10
669,22
670,10
671,21
672,8
673,78
674,21
675,8
676,79
677,8
678,10
679,21
680,80
681,24
682,80
683,80
684,8
685,13
686,8
687,80
688,8
689,63
690,81
691,33
692,33
693,8
694,33
695,33
696,33
697,33
698,17
699,10
700,13
701,8
702,80
703,72
704,7
705,19
706,23
707,7
708,7
709,23
710,23
711,23
712,7
713,7
714,13
715,23
716,23
717,10
718,10
719,10
720,33
722,7
723,7
724,7
