evidence_id,pmid
1,16081687
2,15146165
4,22490330
5,16081687
6,16081687
7,19287384
8,24571676
10,23861977
11,22081665
12,19915144
13,19915144
14,23569304
15,15928335
16,16954519
17,24569458
18,22081665
19,16709929
20,18394554
21,18375819
22,21576590
23,21576590
24,22081665
25,21067377
26,16384925
27,24666267
30,21166657
31,24512939
32,21030459
33,21030459
34,19671763
35,15696205
36,20619739
37,21575866
38,21948233
39,18923525
40,24569458
41,24569458
42,19671763
43,22745105
44,22745105
45,22745105
46,22745105
47,22745105
48,18923525
49,23632886
50,23632886
51,22490330
52,22490330
53,16551858
56,15951308
57,16434492
58,23775962
61,23632886
62,21067377
63,23632886
64,21067377
65,24512939
66,22291079
67,22490330
68,22291079
69,21067377
70,16551858
71,22180178
73,23031422
74,18073307
75,21422803
76,21422803
77,23056499
78,9839497
79,21594703
80,24570209
82,24586605
83,26184520
86,24576830
87,24559322
88,23325582
89,19001320
90,24576830
91,23524406
92,21098728
93,23020132
94,23463675
95,24583796
96,23845441
97,23812671
98,22180495
99,22180495
102,24354346
103,24594804
104,24388723
105,21594703
106,24396464
107,21594703
108,16455956
109,21067377
110,23632886
111,16076867
112,21067377
113,21067377
114,23632886
115,23632886
116,19357394
117,17957027
118,16076867
119,16455956
120,19059939
122,19965647
123,20619739
124,20619739
125,22072639
126,20619739
127,19965647
128,17957027
129,17957027
130,15626738
131,15626738
134,20619739
135,18202412
136,20978259
137,19965647
138,20619739
139,18591546
141,21575866
142,18923525
143,22072639
144,23558953
145,20978259
146,19059939
147,22417203
148,24797300
149,21719597
150,24927407
151,24927407
152,21719597
153,15659725
154,19966866
155,22923433
156,14726504
157,22291079
158,21537333
159,17957027
160,20805365
162,19221039
163,19221039
165,19221039
166,19965647
167,18450602
168,14726504
169,14726504
170,23632886
171,17965322
172,11070098
173,17957027
174,19059939
175,16455956
176,16076867
177,15659725
179,22417203
180,19047294
181,24855211
182,22430270
183,18450602
184,20026798
185,16051734
186,22490330
187,22291079
188,22490330
189,22490330
190,24801015
191,21537333
192,21537333
193,21537333
194,18202412
195,16455956
196,19587375
198,24855211
199,24859829
201,19536888
202,19536888
203,19221039
204,18559874
205,18591546
206,18591546
210,18559874
211,23346317
212,23346317
213,25212276
214,11290608
215,18794081
219,14612939
220,20537386
221,15961768
222,11290608
223,20376086
224,20538800
225,10485475
227,23014527
228,23014527
229,24736073
231,23888070
232,12476305
233,15194504
234,20537386
235,15194504
236,20979473
237,20979473
238,25668228
239,15728811
240,21430269
241,23220880
242,24185512
243,24185512
244,24185512
245,24185512
246,24185512
247,22368270
248,18230792
249,16954519
250,16618717
251,19794967
258,19223544
259,12476305
260,20537386
261,20537386
262,20979473
263,23079656
264,25002028
266,22328973
267,22328973
268,22328973
269,22328973
270,22328973
271,22328973
272,22328973
273,16730237
274,15118125
275,24457318
276,15118125
277,24636847
278,24658966
279,23220880
280,23220880
281,23220880
282,23220880
283,23220880
284,23220880
285,23220880
286,23220880
287,23220880
288,23220880
289,23220880
290,24185510
291,24185510
292,24185510
293,24185510
294,24185510
295,24550739
296,24550739
297,14726387
298,18230792
299,12357354
301,22541434
302,18421059
303,17372901
304,16638875
305,19029981
306,20978259
307,15758010
308,11070098
309,11070098
310,21558396
311,15647370
314,21558396
316,8674046
317,20085938
319,22698404
320,22923433
322,11290608
323,20368538
324,20538800
327,22616558
328,20421455
329,21997850
330,22033490
331,22616558
332,21997850
333,12000708
334,15217946
336,19934290
337,11208838
338,23029227
339,23029227
340,23029227
342,17070615
343,22479427
344,20537386
347,24662454
348,19933982
349,20127344
350,21596855
352,21995386
354,17070615
355,17070615
356,15961768
357,16309541
358,17891190
359,10547574
360,10547574
361,10547574
362,10547574
363,12432043
365,10224221
367,23111194
368,23111194
369,24623981
370,24729716
371,11290608
372,11585760
373,17940205
374,20494930
375,21596855
376,10485475
377,18528420
378,15597105
380,20007775
