pmid,source_type,citation_text,asco_abstract_id,year,pubmed_url
16081687,PubMed,"Levine et al., 2005",,2005,https://pubmed.ncbi.nlm.nih.gov/16081687
15146165,PubMed,"Lasota et al., 2004",,2004,https://pubmed.ncbi.nlm.nih.gov/15146165
22490330,PubMed,"Ribeiro et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/22490330
19287384,PubMed,"Kilpivaara et al., 2009",,2009,https://pubmed.ncbi.nlm.nih.gov/19287384
24571676,PubMed,"Andrade et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24571676
23861977,PubMed,"Tschandl et al., 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/23861977
22081665,PubMed,"LaRochelle et al., 2011",,2011,https://pubmed.ncbi.nlm.nih.gov/22081665
19915144,PubMed,"Emery et al., 2009",,2009,https://pubmed.ncbi.nlm.nih.gov/19915144
23569304,PubMed,"Trunzer et al., 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/23569304
15928335,PubMed,"Corless et al., 2005",,2005,https://pubmed.ncbi.nlm.nih.gov/15928335
16954519,PubMed,"Heinrich et al., 2006",,2006,https://pubmed.ncbi.nlm.nih.gov/16954519
24569458,PubMed,"Imielinski et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24569458
16709929,PubMed,"Kiladjian et al., 2006",,2006,https://pubmed.ncbi.nlm.nih.gov/16709929
18394554,PubMed,"Wernig et al., 2008",,2008,https://pubmed.ncbi.nlm.nih.gov/18394554
18375819,PubMed,"Banerji et al., 2008",,2008,https://pubmed.ncbi.nlm.nih.gov/18375819
21576590,PubMed,"Soon et al., 2011",,2011,https://pubmed.ncbi.nlm.nih.gov/21576590
21067377,PubMed,"Ley et al., 2010",,2010,https://pubmed.ncbi.nlm.nih.gov/21067377
16384925,PubMed,"Cairoli et al., 2006",,2006,https://pubmed.ncbi.nlm.nih.gov/16384925
24666267,PubMed,"Therkildsen et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24666267
21166657,PubMed,"Lee et al., 2011",,2011,https://pubmed.ncbi.nlm.nih.gov/21166657
24512939,PubMed,"El Ghannam et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24512939
21030459,PubMed,"Sasaki et al., 2010",,2010,https://pubmed.ncbi.nlm.nih.gov/21030459
19671763,PubMed,"Woodman et al., 2009",,2009,https://pubmed.ncbi.nlm.nih.gov/19671763
15696205,PubMed,"Pao et al., 2005",,2005,https://pubmed.ncbi.nlm.nih.gov/15696205
20619739,PubMed,"De Roock et al., 2010",,2010,https://pubmed.ncbi.nlm.nih.gov/20619739
21575866,PubMed,"Sakamoto et al., 2011",,2011,https://pubmed.ncbi.nlm.nih.gov/21575866
21948233,PubMed,"Heuckmann et al., 2011",,2011,https://pubmed.ncbi.nlm.nih.gov/21948233
18923525,PubMed,"George et al., 2008",,2008,https://pubmed.ncbi.nlm.nih.gov/18923525
22745105,PubMed,"Heinrich et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/22745105
23632886,PubMed,"Gaidzik et al., 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/23632886
16551858,PubMed,"Wardelmann et al., 2006",,2006,https://pubmed.ncbi.nlm.nih.gov/16551858
15951308,PubMed,"Bowen et al., 2005",,2005,https://pubmed.ncbi.nlm.nih.gov/15951308
16434492,PubMed,"Bacher et al., 2006",,2006,https://pubmed.ncbi.nlm.nih.gov/16434492
23775962,PubMed,"Hodi et al., 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/23775962
22291079,PubMed,"Marcucci et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/22291079
22180178,PubMed,"Jakob et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/22180178
23031422,PubMed,"Ponti et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/23031422
18073307,PubMed,"Elisei et al., 2008",,2008,https://pubmed.ncbi.nlm.nih.gov/18073307
21422803,PubMed,"Coxon et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/21422803
23056499,PubMed,"Couto et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/23056499
9839497,PubMed,"Egawa et al., 1998",,1998,https://pubmed.ncbi.nlm.nih.gov/9839497
21594703,PubMed,"Howell et al., 2011",,2011,https://pubmed.ncbi.nlm.nih.gov/21594703
24570209,PubMed,"Crescenzi et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24570209
24586605,PubMed,"Meckbach et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24586605
26184520,PubMed,"Tabernero et al., 2015",,2015,https://pubmed.ncbi.nlm.nih.gov/26184520
24576830,PubMed,"Nissan et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24576830
24559322,PubMed,"Sartore-Bianchi et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24559322
23325582,PubMed,"Peeters et al., 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/23325582
19001320,PubMed,"Di Nicolantonio et al., 2008",,2008,https://pubmed.ncbi.nlm.nih.gov/19001320
23524406,PubMed,"Rudin et al., 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/23524406
21098728,PubMed,"Corcoran et al., 2010",,2010,https://pubmed.ncbi.nlm.nih.gov/21098728
23020132,PubMed,"Flaherty et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/23020132
23463675,PubMed,"Ponti et al., 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/23463675
24583796,PubMed,"Menzies et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24583796
23845441,PubMed,"Rad et al., 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/23845441
23812671,PubMed,"Ji et al., 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/23812671
22180495,PubMed,"Yang et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/22180495
24354346,PubMed,"Walczyk et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24354346
24594804,PubMed,"Chen et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24594804
24388723,PubMed,"Nagore et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24388723
24396464,PubMed,"He et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24396464
16455956,PubMed,"Thiede et al., 2006",,2006,https://pubmed.ncbi.nlm.nih.gov/16455956
16076867,PubMed,"Schnittger et al., 2005",,2005,https://pubmed.ncbi.nlm.nih.gov/16076867
19357394,PubMed,"Vardiman et al., 2009",,2009,https://pubmed.ncbi.nlm.nih.gov/19357394
17957027,PubMed,"Gale et al., 2008",,2008,https://pubmed.ncbi.nlm.nih.gov/17957027
19059939,PubMed,"Schlenk et al., 2009",,2009,https://pubmed.ncbi.nlm.nih.gov/19059939
19965647,PubMed,"Burnett et al., 2010",,2010,https://pubmed.ncbi.nlm.nih.gov/19965647
22072639,PubMed,"Bresler et al., 2011",,2011,https://pubmed.ncbi.nlm.nih.gov/22072639
15626738,PubMed,"Bagrintseva et al., 2005",,2005,https://pubmed.ncbi.nlm.nih.gov/15626738
18202412,PubMed,"Lièvre et al., 2008",,2008,https://pubmed.ncbi.nlm.nih.gov/18202412
20978259,PubMed,"De Roock et al., 2010",,2010,https://pubmed.ncbi.nlm.nih.gov/20978259
18591546,PubMed,"Virappane et al., 2008",,2008,https://pubmed.ncbi.nlm.nih.gov/18591546
23558953,PubMed,"Wu et al., 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/23558953
22417203,PubMed,"Patel et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/22417203
24797300,PubMed,"Tassara et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24797300
21719597,PubMed,"Balusu et al., 2011",,2011,https://pubmed.ncbi.nlm.nih.gov/21719597
24927407,PubMed,"Ehninger et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24927407
15659725,PubMed,"Falini et al., 2005",,2005,https://pubmed.ncbi.nlm.nih.gov/15659725
19966866,PubMed,"Liang et al., 2010",,2010,https://pubmed.ncbi.nlm.nih.gov/19966866
22923433,PubMed,"Iyer et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/22923433
14726504,PubMed,"Fröhling et al., 2004",,2004,https://pubmed.ncbi.nlm.nih.gov/14726504
21537333,PubMed,"Schnittger et al., 2011",,2011,https://pubmed.ncbi.nlm.nih.gov/21537333
20805365,PubMed,"Schnittger et al., 2010",,2010,https://pubmed.ncbi.nlm.nih.gov/20805365
19221039,PubMed,"Gaidzik et al., 2009",,2009,https://pubmed.ncbi.nlm.nih.gov/19221039
18450602,PubMed,"Schlenk et al., 2008",,2008,https://pubmed.ncbi.nlm.nih.gov/18450602
17965322,PubMed,"Bacher et al., 2008",,2008,https://pubmed.ncbi.nlm.nih.gov/17965322
11070098,PubMed,"Esteller et al., 2000",,2000,https://pubmed.ncbi.nlm.nih.gov/11070098
19047294,PubMed,"Büchner et al., 2009",,2009,https://pubmed.ncbi.nlm.nih.gov/19047294
24855211,PubMed,"Linch et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24855211
22430270,PubMed,"Gaidzik et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/22430270
20026798,PubMed,"Becker et al., 2010",,2010,https://pubmed.ncbi.nlm.nih.gov/20026798
16051734,PubMed,"Döhner et al., 2005",,2005,https://pubmed.ncbi.nlm.nih.gov/16051734
24801015,PubMed,"Port et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24801015
19587375,PubMed,"Schnittger et al., 2009",,2009,https://pubmed.ncbi.nlm.nih.gov/19587375
24859829,PubMed,"Tian et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24859829
19536888,PubMed,"Renneville et al., 2009",,2009,https://pubmed.ncbi.nlm.nih.gov/19536888
18559874,PubMed,"Paschka et al., 2008",,2008,https://pubmed.ncbi.nlm.nih.gov/18559874
23346317,PubMed,"Goff, 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/23346317
25212276,PubMed,"Schmidt et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/25212276
11290608,PubMed,"Yamamoto et al., 2001",,2001,https://pubmed.ncbi.nlm.nih.gov/11290608
18794081,PubMed,"Riely et al., 2008",,2008,https://pubmed.ncbi.nlm.nih.gov/18794081
14612939,PubMed,"Oshimo et al., 2003",,2003,https://pubmed.ncbi.nlm.nih.gov/14612939
20537386,PubMed,"An et al., 2010",,2010,https://pubmed.ncbi.nlm.nih.gov/20537386
15961768,PubMed,"Arnold et al., 2005",,2005,https://pubmed.ncbi.nlm.nih.gov/15961768
20376086,PubMed,"Ho et al., 2010",,2010,https://pubmed.ncbi.nlm.nih.gov/20376086
20538800,PubMed,"Abbas et al., 2010",,2010,https://pubmed.ncbi.nlm.nih.gov/20538800
10485475,PubMed,"Taniguchi et al., 1999",,1999,https://pubmed.ncbi.nlm.nih.gov/10485475
23014527,PubMed,"Dogan et al., 2012",,2012,https://pubmed.ncbi.nlm.nih.gov/23014527
24736073,PubMed,"Lim et al., 2014",,2014,https://pubmed.ncbi.nlm.nih.gov/24736073
23888070,PubMed,"Beaver et al., 2013",,2013,https://pubmed.ncbi.nlm.nih.gov/23888070
12476305,PubMed,"Nimmanapalli et al., 2002",,2002,https://pubmed.ncbi.nlm.nih.gov/12476305
15194504,PubMed,"Yamamoto et al., 2004",,2004,https://pubmed.ncbi.nlm.nih.gov/15194504
