source_drug_concept_id,target_device_id
rxcui:2049873,cdx:ABBOTTREALTIMEI:IDH1:IVOSIDENIB
rxcui:2623641,cdx:ABBOTTREALTIMEI:IDH1:OLUTASIDENIB
rxcui:1940332,cdx:ABBOTTREALTIMEI:IDH2:ENASIDENIB
rxcui:2625882,cdx:AGILENTRESOLUTI:KRAS:ADAGRASIB
rxcui:1597582,cdx:BRACANALYSISCDX:BRCA1:OLAPARIB
rxcui:1597582,cdx:BRACANALYSISCDX:BRCA2:OLAPARIB
ncit:C78186,cdx:BRACANALYSISCDX:BRCA1:RUCAPARIB
ncit:C78186,cdx:BRACANALYSISCDX:BRCA2:RUCAPARIB
rxcui:1147220,cdx:COBAS4800BRAFV6:BRAF:VEMURAFENIB
fda:VEMURAFENIBCOBIMETINIB,cdx:COBAS4800BRAFV6:BRAF:VEMURAFENIBCOBI
rxcui:337525,cdx:COBASEGFRMUTATI:EGFR:ERLOTINIB
rxcui:1721560,cdx:COBASEGFRMUTATI:EGFR:OSIMERTINIB
rxcui:328134,cdx:COBASEGFRMUTATI:EGFR:GEFITINIB
rxcui:1430438,cdx:COBASEGFRMUTATI:EGFR:AFATINIB
rxcui:2274378,cdx:COBASEZH2MUTATI:EZH2:TAZEMETOSTAT
rxcui:318341,cdx:COBASKRASMUTATI:KRAS:CETUXIMABCETUXI
rxcui:263034,cdx:COBASKRASMUTATI:KRAS:PANITUMUMABPANI
rxcui:263034,cdx:CRCDXRASMUTATIO:KRAS:PANITUMUMABPANI
rxcui:263034,cdx:CRCDXRASMUTATIO:NRAS:PANITUMUMABPANI
ncit:C78186,cdx:FOUNDATIONFOCUS:BRCA1:RUCAPARIB
ncit:C78186,cdx:FOUNDATIONFOCUS:BRCA2:RUCAPARIB
rxcui:1597582,cdx:FOUNDATIONONECD:BRCA1:OLAPARIB
rxcui:1597582,cdx:FOUNDATIONONECD:BRCA2:OLAPARIB
rxcui:328134,cdx:FOUNDATIONONECD:EGFR:GEFITINIB
rxcui:1430438,cdx:FOUNDATIONONECD:EGFR:AFATINIB
rxcui:1371041,cdx:FOUNDATIONONECD:ERBB2:ADOTRASTUZUMABE
fda:TRAMETINIB,cdx:FOUNDATIONONECD:BRAF:TRAMETINIB
rxcui:337525,cdx:FOUNDATIONONECD:EGFR:ERLOTINIB
rxcui:1721560,cdx:FOUNDATIONONECD:EGFR:OSIMERTINIB
rxcui:1727454,cdx:FOUNDATIONONECD:ALK:ALECTINIB
rxcui:1148495,cdx:FOUNDATIONONECD:ALK:CRIZOTINIB
rxcui:263034,cdx:FOUNDATIONONECD:KRAS:PANITUMUMABPANI
rxcui:1535457,cdx:FOUNDATIONONECD:ALK:CERITINIB
rxcui:318341,cdx:FOUNDATIONONECD:KRAS:CETUXIMABCETUXI
rxcui:263034,cdx:FOUNDATIONONECD:NRAS:PANITUMUMABPANI
fda:DABRAFENIBTRAMETINIB,cdx:FOUNDATIONONECD:BRAF:DABRAFENIBTRAME
fda:TRASTUZUMAB,cdx:FOUNDATIONONECD:ERBB2:TRASTUZUMABTRAS
fda:ENCORAFENIBBINIMETINIB,cdx:FOUNDATIONONECD:BRAF:ENCORAFENIBBINI
rxcui:2362259,cdx:FOUNDATIONONECD:MET:CAPMATINIB
fda:ALPELISIBFULVESTRANT,cdx:FOUNDATIONONECD:PIK3CA:ALPELISIBFULVES
ncit:C106254,cdx:FOUNDATIONONECD:BRAF:TOVORAFENIB
rxcui:2359268,cdx:FOUNDATIONONECD:FGFR2:PEMIGATINIB
rxcui:1597582,cdx:FOUNDATIONONECD:ATM:OLAPARIB
rxcui:1597582,cdx:FOUNDATIONONECD:BARD1:OLAPARIB
rxcui:1597582,cdx:FOUNDATIONONECD:PALB2:OLAPARIB
rxcui:1597582,cdx:FOUNDATIONONECD:RAD51B:OLAPARIB
rxcui:1597582,cdx:FOUNDATIONONECD:BRIP1:OLAPARIB
rxcui:1597582,cdx:FOUNDATIONONECD:CDK12:OLAPARIB
rxcui:1597582,cdx:FOUNDATIONONECD:CHEK1:OLAPARIB
rxcui:1597582,cdx:FOUNDATIONONECD:CHEK2:OLAPARIB
rxcui:1597582,cdx:FOUNDATIONONECD:RAD51D:OLAPARIB
rxcui:1597582,cdx:FOUNDATIONONECD:FANCL:OLAPARIB
rxcui:1597582,cdx:FOUNDATIONONECD:RAD54L:OLAPARIB
rxcui:1597582,cdx:FOUNDATIONONECD:RAD51C:OLAPARIB
rxcui:1547545,cdx:FOUNDATIONONECD:OTHERBIOMARKERS:PEMBROLIZUMAB
rxcui:2104548,cdx:FOUNDATIONONECD:NTRK1:LAROTRECTINIB
rxcui:2104548,cdx:FOUNDATIONONECD:NTRK2:LAROTRECTINIB
rxcui:2104548,cdx:FOUNDATIONONECD:NTRK3:LAROTRECTINIB
rxcui:2197862,cdx:FOUNDATIONONECD:NTRK1:ENTRECTINIB
rxcui:2197862,cdx:FOUNDATIONONECD:NTRK2:ENTRECTINIB
rxcui:2197862,cdx:FOUNDATIONONECD:NTRK3:ENTRECTINIB
rxcui:2197862,cdx:FOUNDATIONONECD:ROS1:ENTRECTINIB
rxcui:2370147,cdx:FOUNDATIONONECD:RET:SELPERCATINIB
rxcui:328134,cdx:FOUNDATIONONELI:EGFR:GEFITINIB
rxcui:1721560,cdx:FOUNDATIONONELI:EGFR:OSIMERTINIB
rxcui:337525,cdx:FOUNDATIONONELI:EGFR:ERLOTINIB
ncit:C78186,cdx:FOUNDATIONONELI:BRCA1:RUCAPARIB
ncit:C78186,cdx:FOUNDATIONONELI:BRCA2:RUCAPARIB
rxcui:1597582,cdx:FOUNDATIONONELI:BRCA1:OLAPARIB
rxcui:1597582,cdx:FOUNDATIONONELI:BRCA2:OLAPARIB
rxcui:1597582,cdx:FOUNDATIONONELI:ATM:OLAPARIB
rxcui:2477104,cdx:FOUNDATIONONELI:MET:TEPOTINIB
fda:ENCORAFENIBBINIMETINIB,cdx:FOUNDATIONONELI:BRAF:ENCORAFENIBBINI
rxcui:2197862,cdx:FOUNDATIONONELI:ROS1:ENTRECTINIB
rxcui:2197862,cdx:FOUNDATIONONELI:NTRK1:ENTRECTINIB
rxcui:2197862,cdx:FOUNDATIONONELI:NTRK2:ENTRECTINIB
rxcui:2197862,cdx:FOUNDATIONONELI:NTRK3:ENTRECTINIB
rxcui:1727454,cdx:FOUNDATIONONELI:ALK:ALECTINIB
fda:ALPELISIBFULVESTRANT,cdx:FOUNDATIONONELI:PIK3CA:ALPELISIBFULVES
fda:ENCORAFENIBCETUXIMAB,cdx:FOUNDATIONONELI:BRAF:ENCORAFENIBCETU
rxcui:2362259,cdx:FOUNDATIONONELI:MET:CAPMATINIB
rxcui:1721560,cdx:GUARDANT360CDXG:EGFR:OSIMERTINIB
iuphar.ligand:10505,cdx:GUARDANT360CDXG:EGFR:AMIVANTAMAB
iuphar.ligand:10678,cdx:GUARDANT360CDXG:KRAS:SOTORASIB
fda:TRASTUZUMABDERUXTECAN,cdx:GUARDANT360CDXG:ERBB2:TRASTUZUMABDERU
rxcui:2628469,cdx:GUARDANT360CDXG:ESR1:ELACESTRANT
fda:TRASTUZUMAB,cdx:HER2CISHPHARMDX:ERBB2:TRASTUZUMABTRAS
fda:TRASTUZUMAB,cdx:HER2FISHPHARMDX:ERBB2:TRASTUZUMABTRAS
rxcui:1371041,cdx:HER2FISHPHARMDX:ERBB2:ADOTRASTUZUMABE
fda:TRASTUZUMAB,cdx:INFORMHER2NEUVE:ERBB2:TRASTUZUMABTRAS
fda:TRASTUZUMAB,cdx:INFORMHER2DUALI:ERBB2:TRASTUZUMABTRAS
rxcui:1371041,cdx:INFORMHER2DUALI:ERBB2:ADOTRASTUZUMABE
rxcui:2272107,cdx:KITD816VASSAYAR:KIT:AVAPRITINIB
rxcui:2105806,cdx:LEUKOSTRATCDXFL:FLT3:GILTERITINIB
rxcui:2643048,cdx:LEUKOSTRATCDXFL:FLT3:QUIZARTINIB
rxcui:662281,cdx:MRDXBCRABLTESTM:BCR:NILOTINIB
rxcui:662281,cdx:MRDXBCRABLTESTM:ABL1:NILOTINIB
rxcui:1597582,cdx:MYRIADMYCHOICEC:BRCA1:OLAPARIB
rxcui:1597582,cdx:MYRIADMYCHOICEC:BRCA2:OLAPARIB
rxcui:318341,cdx:ONCOREVEALDXLUN:KRAS:CETUXIMABCETUXI
rxcui:263034,cdx:ONCOREVEALDXLUN:KRAS:PANITUMUMABPANI
fda:DABRAFENIBTRAMETINIB,cdx:ONCOMINEDXTARGE:BRAF:DABRAFENIBTRAME
rxcui:1148495,cdx:ONCOMINEDXTARGE:ROS1:CRIZOTINIB
