source_molecular_profile_id,target_evidence_id
64,1
99,2
32,4
64,5
64,6
64,7
76,8
94,10
32,11
82,12
83,13
94,14
99,15
99,16
10,17
32,18
64,19
64,20
93,21
95,22
96,23
32,24
32,25
65,26
208,27
17,30
32,31
8,32
8,33
72,34
77,35
94,36
8,37
8,38
9,39
10,40
10,41
72,42
98,43
99,44
100,45
101,46
102,47
9,48
32,49
32,50
32,51
55,52
66,53
208,56
92,57
66,58
32,61
32,62
32,63
32,64
32,65
32,66
32,67
32,68
55,69
69,70
208,71
4170,73
1598,74
112,75
113,76
113,77
113,78
12,79
12,80
12,82
103,83
12,86
75,87
17,88
12,89
5379,90
79,91
4173,92
17,93
11,94
12,95
12,96
12,97
12,98
12,99
12,102
12,103
12,104
12,105
12,106
12,107
3007,108
87,109
32,110
86,111
32,112
32,113
32,114
32,115
86,116
86,117
86,118
86,119
86,120
29,122
106,123
94,124
8,125
12,126
55,127
55,128
55,129
55,130
55,131
77,134
77,135
421,136
86,137
105,138
129,139
4230,141
8,142
9,143
53,144
81,145
86,146
86,147
86,148
86,149
86,150
86,151
87,152
87,153
124,154
125,155
515,156
32,157
55,158
55,159
58,160
129,162
129,163
130,165
29,166
29,167
29,168
28,169
32,170
56,171
85,172
86,173
86,174
86,175
86,176
86,177
86,179
86,180
86,181
86,182
86,183
86,184
86,185
32,186
32,187
189,188
32,189
55,190
55,191
55,192
55,193
77,194
55,195
86,196
55,198
86,199
129,201
129,202
129,203
129,204
129,205
129,206
130,210
131,211
132,212
1,213
56,214
76,215
22,219
1,220
20,221
55,222
58,223
59,224
66,225
78,227
79,228
33,229
4,231
1,232
4431,233
4373,234
4373,235
4225,236
4230,237
34,238
34,239
34,240
39,241
46,242
47,243
48,244
49,245
50,246
4616,247
56,248
73,249
75,250
148,251
107,258
1,259
1,260
1,261
5,262
23,263
25,264
141,266
142,267
144,268
143,269
140,270
139,271
145,272
133,273
134,274
33,275
33,276
34,277
34,278
35,279
36,280
37,281
38,282
39,283
40,284
4464,285
42,286
43,287
44,288
45,289
46,290
47,291
48,292
49,293
50,294
52,295
54,296
55,297
55,298
55,299
57,301
67,302
72,303
73,304
79,305
81,306
85,307
85,308
85,309
103,310
103,311
107,314
108,316
110,317
116,319
124,320
56,322
58,323
59,324
62,327
566,328
62,329
62,330
63,331
63,332
66,333
66,334
76,336
76,337
127,338
127,339
128,340
19,342
110,343
1,344
33,347
58,348
58,349
62,350
215,352
18,354
19,355
20,356
20,357
20,358
21,359
21,360
21,361
21,362
24,363
24,365
27,367
27,368
34,369
34,370
55,371
55,372
56,373
58,374
63,375
66,376
76,377
76,378
135,380
136,381
138,382
137,383
106,384
104,387
107,388
116,389
117,390
117,391
118,392
222,393
121,395
121,396
122,397
122,398
119,399
127,400
128,401
30,403
31,405
151,407
153,408
154,409
155,411
156,412
133,413
156,414
157,415
158,416
157,417
160,418
157,419
161,420
157,421
160,422
152,423
163,425
157,426
157,427
159,428
155,429
155,430
164,431
165,432
165,433
167,435
168,436
169,439
4172,440
4237,441
4230,442
4309,443
4308,444
174,445
174,446
175,447
176,448
177,449
177,450
177,451
178,452
178,453
179,454
178,455
180,456
181,457
182,458
183,459
183,460
183,461
184,462
12,463
185,464
186,465
187,466
29,467
29,468
189,469
190,470
190,471
191,472
190,473
193,474
4668,475
195,476
2277,477
687,478
198,479
58,480
58,481
199,482
199,483
200,484
201,485
202,486
76,487
80,488
203,489
85,490
85,491
204,492
205,493
206,494
207,495
208,496
94,497
209,498
161,499
210,500
210,501
210,502
210,503
212,504
213,505
214,506
214,507
155,508
155,509
215,510
216,511
217,512
218,513
219,514
220,515
220,516
221,517
222,518
222,519
222,520
222,521
222,522
222,523
222,524
223,525
223,526
224,527
302,528
302,529
227,531
31,532
77,622
232,623
200,624
200,625
200,626
199,627
199,628
200,629
234,630
235,631
236,632
234,633
236,635
235,636
4376,637
4376,638
4373,639
222,640
238,641
34,642
214,644
214,645
34,646
239,647
240,648
241,649
132,650
