source_entrez_id,target_variant_id
25,2
25,3
207,4
238,8
238,9
369,10
673,11
673,12
673,17
595,18
595,19
595,20
894,21
894,22
896,23
898,24
1019,25
1029,27
1050,28
1050,29
1788,32
1956,33
1956,34
2064,35
2064,36
2064,37
2064,38
2064,39
2064,40
2064,42
2064,43
2064,44
2064,45
2099,46
2099,47
2099,48
2099,49
2099,50
2322,55
2322,56
2624,57
3417,58
3417,59
3418,62
3418,63
3717,64
3815,65
3815,66
3815,67
3815,69
3815,72
3815,73
3845,75
3845,76
3845,77
3845,78
3845,79
3845,80
3845,81
5604,82
5604,83
4255,85
4869,86
4869,87
4893,92
4893,93
4893,94
4893,95
4893,96
5156,98
5156,99
5156,100
5156,101
5156,102
5290,103
5290,104
5290,105
5290,106
5290,107
5728,110
5979,112
5979,113
23451,114
7157,116
7157,117
7157,118
7157,119
7157,121
7157,122
7248,124
7248,125
7307,127
7307,128
7490,129
7490,130
672,131
675,132
1956,133
1956,134
4851,135
4851,136
4851,137
4851,138
4921,139
4921,140
4921,141
4921,142
4921,143
4921,144
4921,145
3845,148
596,151
596,152
27086,153
5966,154
861,155
3481,156
54790,157
6790,158
7428,159
7428,160
55193,161
2146,163
2146,165
8085,167
695,168
207,169
238,171
238,172
324,174
367,175
367,176
171023,177
472,178
472,179
6790,180
6790,181
8314,182
8314,183
672,185
675,186
898,187
1788,189
1956,190
1956,191
1956,193
668,198
3418,199
10320,200
3815,201
3815,202
3845,203
8202,204
8202,205
4851,206
4851,207
4893,208
5241,210
5290,212
5728,213
5728,214
23451,215
4089,216
6597,217
6597,218
7015,219
7015,220
7157,221
7157,222
7157,223
7270,224
11200,230
51755,236
22978,238
22978,239
22978,240
7157,242
472,243
472,244
4771,245
5156,247
7015,248
7515,249
2950,250
79444,251
1956,252
3845,254
2073,255
3815,256
2146,257
4524,258
2950,259
9429,260
7515,261
5243,262
5243,263
2068,264
7298,265
53353,266
2260,267
2260,268
4233,270
545,271
1029,272
3265,274
3265,275
29126,276
2475,277
208,278
4771,279
55294,281
4089,282
2475,283
2475,284
673,288
2065,289
4907,290
2146,291
4615,292
5290,294
6016,296
6016,297
4613,298
6608,299
6608,300
5727,301
5727,302
6794,303
6794,304
6850,305
2064,306
238,307
238,308
2066,310
5290,311
1956,312
5728,313
3084,314
374,315
7039,316
1956,317
2069,318
5594,320
5594,321
3845,322
4233,323
4233,324
2261,325
23624,326
5789,327
1667,328
2067,329
4851,330
7465,331
2342,332
11122,333
7422,334
1786,335
3845,336
27250,337
4255,338
7033,339
22943,340
960,341
1950,342
4193,343
3162,344
8877,345
