source_variant_id,target_molecular_profile_id
1,1
4,4
5,5
8,8
9,9
10,10
11,11
12,12
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,50
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
62,62
63,63
64,64
65,65
66,66
67,67
69,69
72,72
73,73
75,75
76,76
77,77
78,78
79,79
80,80
81,81
82,82
83,83
85,85
86,86
87,87
92,92
93,93
94,94
95,95
96,96
98,98
99,99
100,100
101,101
102,102
103,103
104,104
105,105
106,106
107,107
108,108
110,110
112,112
113,113
114,114
116,116
117,117
118,118
119,119
121,121
122,122
124,124
125,125
127,127
128,128
129,129
130,130
131,131
132,132
133,133
134,134
135,135
136,136
137,137
138,138
139,139
140,140
141,141
142,142
143,143
144,144
145,145
148,148
151,151
152,152
153,153
154,154
155,155
156,156
157,157
158,158
159,159
160,160
161,161
163,163
164,164
165,165
167,167
168,168
169,169
174,174
175,175
176,176
177,177
178,178
179,179
180,180
181,181
182,182
183,183
184,184
185,185
186,186
187,187
189,189
190,190
191,191
193,193
195,195
198,198
199,199
200,200
201,201
202,202
203,203
204,204
205,205
206,206
207,207
208,208
209,209
210,210
212,212
213,213
214,214
215,215
216,216
217,217
218,218
219,219
220,220
221,221
222,222
223,223
224,224
230,227
236,232
238,234
239,235
240,236
242,238
243,239
244,240
245,241
247,243
248,244
249,245
250,246
251,247
252,248
254,250
255,251
256,252
257,253
258,254
259,255
260,256
261,257
262,258
263,259
264,260
265,261
266,262
267,263
268,264
270,266
271,267
272,268
273,269
274,270
275,271
276,272
277,273
278,274
279,275
281,277
282,278
283,279
284,280
285,281
286,282
287,283
288,284
289,285
290,286
291,287
292,288
294,290
296,292
297,293
298,294
299,295
300,296
301,297
302,298
303,299
304,300
305,301
306,302
310,306
311,307
312,308
313,309
314,310
315,311
316,312
317,313
318,314
320,316
321,317
322,318
323,319
324,320
325,321
326,322
327,323
328,324
329,325
330,326
331,327
332,328
333,329
334,330
335,331
336,332
337,333
338,334
339,335
340,336
341,337
342,338
343,339
344,340
345,341
346,342
347,343
348,344
349,345
350,346
351,347
354,350
355,351
356,352
357,353
358,354
359,355
360,356
361,357
362,358
363,359
364,360
365,361
366,362
367,363
368,364
369,365
370,366
371,367
372,368
373,369
374,370
375,371
376,372
377,373
378,374
379,375
380,376
381,377
382,378
383,379
384,380
385,381
386,382
387,383
388,384
389,385
390,386
391,387
392,388
393,389
394,390
395,391
396,392
397,393
398,394
399,395
400,396
401,397
402,398
403,399
405,401
406,402
407,403
408,404
409,405
410,406
411,407
412,408
413,409
414,410
415,411
416,412
417,413
419,415
420,416
421,417
422,418
