source_evidence_id,target_drug_concept_id,evidence_level,significance,evidence_direction
11,rxcui:81992,B,Resistance,Does Not Support
12,rxcui:2361596,D,Resistance,Supports
13,rxcui:2361596,D,Resistance,Supports
14,rxcui:1147220,B,Resistance,Supports
15,rxcui:282388,B,Resistance,Supports
16,rxcui:282388,B,Resistance,Supports
17,rxcui:495881,C,Sensitivity/Response,Supports
18,rxcui:5650,B,Sensitivity/Response,Supports
19,rxcui:253453,B,Sensitivity/Response,Supports
20,rxcui:2197594,D,Sensitivity/Response,Supports
21,chembl:CHEMBL109480,C,Sensitivity/Response,Supports
22,rxcui:37776,C,Sensitivity/Response,Supports
23,rxcui:37776,C,Sensitivity/Response,Supports
32,rxcui:1148495,D,Resistance,Supports
33,rxcui:1148495,D,Resistance,Supports
34,rxcui:495881,D,Resistance,Supports
34,rxcui:282388,D,Resistance,Supports
34,rxcui:662281,D,Resistance,Supports
35,rxcui:337525,B,Resistance,Supports
35,rxcui:328134,B,Resistance,Supports
36,rxcui:318341,B,Resistance,Supports
37,rxcui:1727454,D,Sensitivity/Response,Supports
38,rxcui:1148495,D,Sensitivity/Response,Supports
39,ncit:C171615,D,Sensitivity/Response,Supports
40,rxcui:495881,D,Sensitivity/Response,Supports
41,fda:TRAMETINIB,D,Sensitivity/Response,Supports
42,fda:DASATINIB,D,Sensitivity/Response,Supports
43,ncit:C64639,D,Sensitivity/Response,Supports
44,ncit:C64639,D,Sensitivity/Response,Supports
45,ncit:C64639,D,Sensitivity/Response,Supports
46,ncit:C64639,D,Sensitivity/Response,Supports
47,ncit:C64639,D,Sensitivity/Response,Supports
48,ncit:C171615,D,Resistance,Supports
58,rxcui:282388,B,Sensitivity/Response,Supports
73,rxcui:1424911,C,Sensitivity/Response,Supports
75,ncit:C71896,D,Resistance,Supports
76,ncit:C71896,D,Resistance,Supports
77,ncit:C91394,D,Sensitivity/Response,Supports
86,fda:TRAMETINIB,D,Resistance,Does Not Support
86,drugbank:DB07101,D,Resistance,Does Not Support
88,rxcui:263034,B,Resistance,Supports
89,rxcui:263034,D,Sensitivity/Response,Supports
89,rxcui:495881,D,Sensitivity/Response,Supports
90,rxcui:1147220,D,Resistance,Supports
91,rxcui:1424911,C,Resistance,Supports
92,rxcui:2361596,E,Resistance,Supports
93,rxcui:1424911,B,Sensitivity/Response,Supports
93,fda:TRAMETINIB,B,Sensitivity/Response,Supports
94,rxcui:1424911,B,Sensitivity/Response,Supports
95,fda:TRAMETINIB,B,Sensitivity/Response,Supports
95,rxcui:1424911,B,Sensitivity/Response,Supports
96,drugbank:DB06999,D,Sensitivity/Response,Supports
97,drugbank:DB17039,D,Sensitivity/Response,Supports
97,drugbank:DB06999,D,Sensitivity/Response,Supports
98,rxcui:194000,D,Sensitivity/Response,Supports
98,rxcui:1147220,D,Sensitivity/Response,Supports
99,rxcui:1147220,D,Sensitivity/Response,Supports
122,rxcui:10753,B,Sensitivity/Response,Does Not Support
123,rxcui:318341,B,Resistance,Does Not Support
124,rxcui:318341,B,Resistance,Does Not Support
125,rxcui:1148495,D,Resistance,Supports
