nct_id,drug_name_raw,drug_name_normalized
NCT05176665,EMB-01,EMB-01
NCT06314997,panitumumab (EGFR inhibitors),PANITUMUMAB
NCT07155187,Telisotuzumab Adizutecan,TELISOTUZUMAB
NCT07257653,Cetuximab β；Fruquintinib；,CETUXIMAB
NCT07257653,Cetuximab β；Fruquintinib；,FRUQUINTINIB
NCT06186401,Cyclophosphamide (non-investigational),CYCLOPHOSPHAMIDE
NCT06186401,Fludarabine (non-investigational),FLUDARABINE
NCT03526835,MCLA-158 + Pembrolizumab,PEMBROLIZUMAB
NCT04494425,Trastuzumab deruxtecan,TRASTUZUMAB DERUXTECAN
NCT04494425,Capecitabine,CAPECITABINE
NCT04494425,Paclitaxel,PACLITAXEL
NCT04494425,Nab-Paclitaxel,NAB-PACLITAXEL
NCT03330847,Olaparib Continuous (28-Day cycle) 300 mg BD.,OLAPARIB
NCT03330847,Ceralasertib 160 mg OD + olaparib continuous 300 mg BD (28-day cycle).,CERALASERTIB
NCT03330847,Adavosertib 150 mg BD + olaparib 200 mg BD (21-day cycle).,ADAVOSERTIB
NCT04423185,Dacomitinib 45 MG,DACOMITINIB
NCT04423185,Alectinib 150 MG,ALECTINIB HYDROCHLORIDE
NCT04423185,Crizotinib 250 MG,CRIZOTINIB
NCT04423185,Pyrotinib 160/80 MG,PYROTINIB
NCT04423185,Imatinib 400 MG,IMATINIB
NCT04423185,Niraparib 200/300 MG,NIRAPARIB
NCT04423185,Palbociclib 125mg,PALBOCICLIB
NCT04423185,Vemurafenib 240 MG,VEMURAFENIB
NCT04423185,Sintilimab 100MG,SINTILIMAB
NCT04423185,Atezolizumab 1680 MG,ATEZOLIZUMAB
NCT05760612,Trastuzumab and neratinib,TRASTUZUMAB
NCT05760612,Trastuzumab and neratinib,NERATINIB MALEATE
NCT04743505,Osimertinib,OSIMERTINIB
NCT06788990,Ficerafusp alfa,FICERAFUSP ALFA
NCT06788990,Pembrolizumab (KEYTRUDA®),PEMBROLIZUMAB
NCT07183189,SHR-A2009 ; Aumolertinib,AUMOLERTINIB
NCT03911973,Gedatolisib,GEDATOLISIB
NCT03911973,Talazoparib,TALAZOPARIB
NCT04906395,Tamoxifen,TAMOXIFEN
NCT04906395,Letrozole Tablets,LETROZOLE
NCT04906395,Anastrozole Tablets,ANASTROZOLE
NCT04906395,Exemestane Tablets,EXEMESTANE
NCT04676477,Osimertinib,OSIMERTINIB
NCT06305754,Carboplatin,CARBOPLATIN
NCT06305754,Acetaminophen (or equivalent),ACETAMINOPHEN
NCT06305754,Dexamethasone (or equivalent),DEXAMETHASONE
NCT07005102,Telisotuzumab Adizutecan,TELISOTUZUMAB
NCT07005102,Osimertinib (Osi),OSIMERTINIB
NCT07005102,Cisplatin,CISPLATIN
NCT07005102,Carboplatin,CARBOPLATIN
NCT06517953,Icotinib,ICOTINIB
NCT06517953,Befotertinib,BEFOTERTINIB
NCT04117945,Cetuximab,CETUXIMAB
NCT04117945,Irinotecan,IRINOTECAN HYDROCHLORIDE
NCT04117945,Panitumumab,PANITUMUMAB
NCT04117945,Regorafenib,REGORAFENIB
NCT03767075,Atezolizumab,ATEZOLIZUMAB
NCT03767075,Futibatinib,FUTIBATINIB
NCT03767075,Amivantamab,AMIVANTAMAB
NCT05445791,Metformin Hydrochloride,METFORMIN HYDROCHLORIDE
NCT05047250,Atezolizumab,ATEZOLIZUMAB
NCT03332797,Palbociclib,PALBOCICLIB
NCT07585760,CM336 Plus Isatuximab,ISATUXIMAB
NCT07117890,sunvozertinib 300mg,SUNVOZERTINIB
NCT06239220,Cetuximab,CETUXIMAB
NCT06997068,Celecoxib,CELECOXIB
NCT06997068,Erlotinib Hydrochloride,ERLOTINIB HYDROCHLORIDE
NCT06997068,Methotrexate,METHOTREXATE
NCT06097962,Tislelizumab，atezolizumab or sugemalimab,TISLELIZUMAB
NCT06097962,Tislelizumab，atezolizumab or sugemalimab,ATEZOLIZUMAB
NCT06097962,Tislelizumab，atezolizumab or sugemalimab,SUGEMALIMAB
NCT06348134,Trastuzumab emtansine,TRASTUZUMAB
NCT06348134,Tamoxifen,TAMOXIFEN
NCT06348134,Letrozole,LETROZOLE
NCT04784715,Trastuzumab deruxtecan,TRASTUZUMAB DERUXTECAN
NCT04784715,Trastuzumab,TRASTUZUMAB
NCT07554521,Tislelizumab,TISLELIZUMAB
NCT07554521,Capecitabine,CAPECITABINE
NCT07554521,5-fluorouracil (5-FU),FLUOROURACIL
NCT07554521,Oxaliplatin,OXALIPLATIN
NCT03297606,Olaparib,OLAPARIB
NCT03297606,Dasatinib,DASATINIB
NCT03297606,Nivolumab plus Ipilimumab,NIVOLUMAB
NCT03297606,Nivolumab plus Ipilimumab,IPILIMUMAB
NCT03297606,Axitinib,AXITINIB
NCT03297606,Bosutinib,BOSUTINIB
NCT03297606,Crizotinib,CRIZOTINIB
NCT03297606,Palbociclib,PALBOCICLIB
NCT03297606,Sunitinib,SUNITINIB
NCT03297606,Temsirolimus,TEMSIROLIMUS
NCT03297606,Erlotinib,ERLOTINIB
NCT03297606,Trastuzumab plus Pertuzumab,TRASTUZUMAB
NCT03297606,Vemurafenib plus Cobimetinib,VEMURAFENIB
NCT03297606,Vemurafenib plus Cobimetinib,COBIMETINIB
NCT03297606,Vismodegib,VISMODEGIB
NCT03297606,Tucatinib,TUCATINIB
NCT04606771,Osimertinib + Savolitinib,OSIMERTINIB
NCT04606771,Osimertinib + Savolitinib,SAVOLITINIB
NCT05113251,Trastuzumab Deruxtecan,TRASTUZUMAB DERUXTECAN
NCT05113251,Paclitaxel,PACLITAXEL
NCT05113251,Trastuzumab,TRASTUZUMAB
NCT05113251,Doxorubicin,DOXORUBICIN HYDROCHLORIDE
NCT05113251,cyclophosphamide,CYCLOPHOSPHAMIDE
NCT06106802,Lazertinib,LAZERTINIB
NCT06106802,Tepotinib,TEPOTINIB
NCT06745908,Tislelizumab,TISLELIZUMAB
NCT03170960,atezolizumab,ATEZOLIZUMAB
NCT06702618,TQB3616 capsule+Fulvestrant Injection,FULVESTRANT
NCT05863195,Cetuximab,CETUXIMAB
NCT05863195,Floxuridine,FLOXURIDINE
NCT05863195,Fluorouracil,FLUOROURACIL
NCT05863195,Irinotecan,IRINOTECAN HYDROCHLORIDE
NCT05863195,Oxaliplatin,OXALIPLATIN
NCT05863195,Panitumumab,PANITUMUMAB
NCT07389265,Erbitux (Cetuximab),CETUXIMAB
NCT07389265,FOLFOX (Folinic acid + Fluorouracil + Oxaliplatin),FLUOROURACIL
NCT07389265,FOLFOX (Folinic acid + Fluorouracil + Oxaliplatin),OXALIPLATIN
NCT07389265,"FOLFIRI (5-Fluorouracil, Folinic acid, Irinotecan)",IRINOTECAN HYDROCHLORIDE
NCT05161195,Ribociclib,RIBOCICLIB
NCT05161195,Letrozole,LETROZOLE
NCT05161195,Anastrozole,ANASTROZOLE
NCT05161195,Tamoxifen,TAMOXIFEN
NCT05161195,Fulvestrant,FULVESTRANT
NCT06970639,Carboplatin Injection,CARBOPLATIN
NCT06970639,Cisplatin for injection,CISPLATIN
NCT06970639,Osimertinib Mesylate Tablets,OSIMERTINIB
NCT07100106,Giredestrant,GIREDESTRANT
NCT07100106,Abemaciclib,ABEMACICLIB
NCT05195619,Autologous dendritic cell vaccine loaded with personalized peptides (PEP-DC vaccine),VACCINE
NCT05195619,Low dose cyclophosphamide,CYCLOPHOSPHAMIDE
NCT02143466,Part A - AZD9291 in combination with continuous selumetinib (Asian subjects),SELUMETINIB SULFATE
NCT05308446,Cetuximab,CETUXIMAB
NCT05308446,Encorafenib,ENCORAFENIB
NCT05308446,Nivolumab,NIVOLUMAB
NCT06958627,pyrotinib,PYROTINIB
NCT05681780,Nivolumab,NIVOLUMAB
NCT05681780,Cyclophosphamide,CYCLOPHOSPHAMIDE
NCT05681780,Fludarabine,FLUDARABINE
NCT06014827,Osimertinib,OSIMERTINIB
NCT02193282,Erlotinib Hydrochloride,ERLOTINIB HYDROCHLORIDE
NCT05735080,Fulvestrant,FULVESTRANT
NCT05735080,Abemaciclib,ABEMACICLIB
NCT05017025,Aurora A Kinase Inhibitor LY3295668,LY3295668
NCT05017025,Osimertinib,OSIMERTINIB
NCT07295821,Osimertinib,OSIMERTINIB
NCT07340541,SERD* + abemaciclib,ABEMACICLIB
NCT07340541,SERD* + everolimus,EVEROLIMUS
NCT07340541,SERD* + everolimus or capecitabine,CAPECITABINE
NCT07340541,Antiandrogen,ANTI-ANDROGEN
NCT07459296,Sintilimab,SINTILIMAB
NCT07459296,Cisplatin,CISPLATIN
NCT07459296,Gemcitabine (GEM),GEMCITABINE
NCT06869473,Cetuximab/avelumab,CETUXIMAB
NCT06869473,Cetuximab/avelumab,AVELUMAB
NCT05236946,Tyrosine kinase inhibitor,TYROSINE KINASE INHIBITOR
NCT04185883,Sotorasib,SOTORASIB
NCT04185883,Trametinib,TRAMETINIB
NCT04185883,Afatinib,AFATINIB
NCT04185883,Pembrolizumab,PEMBROLIZUMAB
NCT04185883,Panitumumab,PANITUMUMAB
NCT04185883,"Carboplatin, pemetrexed, docetaxel, paclitaxel",CARBOPLATIN
NCT04185883,"Carboplatin, pemetrexed, docetaxel, paclitaxel",PACLITAXEL
NCT04185883,Atezolizumab,ATEZOLIZUMAB
NCT04185883,Palbociclib,PALBOCICLIB
NCT04185883,Everolimus,EVEROLIMUS
NCT07071337,Nab-paclitaxel,NAB-PACLITAXEL
NCT07071337,Paclitaxel,PACLITAXEL
NCT07071337,Capecitabine,CAPECITABINE
NCT06269133,Platinum-doublet chemotherapy,PLATINUM
NCT06589804,Cetuximab,CETUXIMAB
NCT06589804,Pembrolizumab,PEMBROLIZUMAB
NCT05029999,CDX-1140,CDX-1140
NCT05029999,CDX-301,CDX-301
NCT05908734,Cetrelimab,CETRELIMAB
NCT05908734,Amivantamab,AMIVANTAMAB
NCT05382728,Osimertinib,OSIMERTINIB
NCT03866499,Gefitinib,GEFITINIB
NCT02226276,fludeoxyglucose F 18,FLUDEOXYGLUCOSE F 18
NCT02226276,trastuzumab,TRASTUZUMAB
NCT02226276,copper Cu 64-DOTA-trastuzumab,COPPER
NCT02226276,ado-trastuzumab emtansine,ADO-TRASTUZUMAB EMTANSINE
NCT05901545,Panitumumab,PANITUMUMAB
NCT06394661,Serplulimab+NabPE,SERPLULIMAB
NCT03775486,Durvalumab,DURVALUMAB
NCT03775486,Olaparib,OLAPARIB
NCT03775486,Nab-paclitaxel+carboplatin,PACLITAXEL
NCT03775486,Nab-paclitaxel+carboplatin,CARBOPLATIN
NCT03775486,Gemcitabine+carboplatin,GEMCITABINE
NCT03775486,Gemcitabine+cisplatin,CISPLATIN
NCT06923527,Elacestrant,ELACESTRANT
NCT04591002,Osimertinib 80 MG,OSIMERTINIB
NCT02609776,Amivantamab,AMIVANTAMAB
NCT02609776,Lazertinib,LAZERTINIB
NCT02609776,Carboplatin,CARBOPLATIN
NCT05845671,Amivantamab 1050mg,AMIVANTAMAB
NCT05979818,Propranolol hydrochloride,PROPRANOLOL HYDROCHLORIDE
NCT05979818,Sintilimab,SINTILIMAB
NCT05261399,Savolitinib,SAVOLITINIB
NCT05261399,Osimertinib,OSIMERTINIB
NCT05261399,Cisplatin,CISPLATIN
NCT05261399,Carboplatin,CARBOPLATIN
NCT06303167,Osimertinib,OSIMERTINIB
NCT06452277,Sevabertinib,SEVABERTINIB
NCT06452277,Pembrolizumab,PEMBROLIZUMAB
NCT06452277,Cisplatin,CISPLATIN
NCT06452277,Carboplatin,CARBOPLATIN
NCT05910827,Cetuximab,CETUXIMAB
NCT06741085,osimertinib,OSIMERTINIB
NCT05526755,Osimertinib 80 mg/40 mg,OSIMERTINIB
NCT05103605,Osimertinib,OSIMERTINIB
NCT07274761,Sunvozertinib,SUNVOZERTINIB
NCT05201352,trifluridine/tipiracil + XB2001,TRIFLURIDINE
NCT05201352,trifluridine/tipiracil + XB2001,TIPIRACIL HYDROCHLORIDE
NCT04243616,Cemiplimab,CEMIPLIMAB
NCT04243616,Paclitaxel,PACLITAXEL
NCT04243616,Carboplatin (not mandatory),CARBOPLATIN
NCT04243616,Doxorubicin,DOXORUBICIN HYDROCHLORIDE
NCT04243616,Cyclophosphamide,CYCLOPHOSPHAMIDE
NCT04983121,Next-generation Site-specific human epidermal growth factor receptor 2 (HER2)-targeting Antibody-drug Conjugate (ARX788),ARX-788
NCT01972347,Dabrafenib,DABRAFENIB
NCT01972347,Trametinib,TRAMETINIB
NCT05912816,RC48 Combined With Tislelizumab,TISLELIZUMAB
NCT04762199,Osimertinib,OSIMERTINIB
NCT04964934,Anastrozole,ANASTROZOLE
NCT04964934,Letrozole,LETROZOLE
NCT04964934,Palbociclib,PALBOCICLIB
NCT04964934,Abemaciclib,ABEMACICLIB
NCT04964934,Ribociclib,RIBOCICLIB
NCT06415487,Cyclophosphamide,CYCLOPHOSPHAMIDE
NCT06415487,Fludarabine,FLUDARABINE
NCT06415487,Pembrolizumab,PEMBROLIZUMAB
NCT04576455,Giredestrant,GIREDESTRANT
NCT04576455,Fulvestrant or an Aromatase Inhibitor (Physician Choice),FULVESTRANT
NCT06048718,Trastuzumab-Deruxtecan (T-DXd),TRASTUZUMAB
NCT02827877,Copper Cu 64-DOTA-Trastuzumab,COPPER
NCT02827877,Copper Cu 64-DOTA-Trastuzumab,TRASTUZUMAB
NCT05870319,Carboplatin,CARBOPLATIN
NCT05870319,Cisplatin,CISPLATIN
NCT06592989,"sorafenib, gefitinib",SORAFENIB
NCT06592989,"sorafenib, gefitinib",GEFITINIB
NCT05751018,Pyrotinib,PYROTINIB
NCT01093612,copper Cu 64-DOTA-trastuzumab,COPPER
NCT01093612,copper Cu 64-DOTA-trastuzumab,TRASTUZUMAB
NCT04172259,Doxorubicin liposome,DOXORUBICIN LIPOSOME
NCT04172259,Cyclophosphamide,CYCLOPHOSPHAMIDE
NCT04172259,Trastuzumab,TRASTUZUMAB
NCT04172259,Epirubicin,EPIRUBICIN
NCT04172259,Paclitaxel,PACLITAXEL
