nct_id,gene_symbol,source
NCT05176665,ALK,eligibility_criteria
NCT05176665,BRAF,eligibility_criteria
NCT05176665,EGFR,eligibility_criteria
NCT05176665,ERBB2,eligibility_criteria
NCT05176665,KRAS,eligibility_criteria
NCT05176665,NRAS,eligibility_criteria
NCT05176665,RET,eligibility_criteria
NCT05176665,ROS1,eligibility_criteria
NCT07155187,EGFR,eligibility_criteria
NCT07257653,BRAF,eligibility_criteria
NCT07257653,KRAS,eligibility_criteria
NCT07257653,NRAS,eligibility_criteria
NCT06186401,EGFR,eligibility_criteria
NCT03526835,BRAF,eligibility_criteria
NCT03526835,EGFR,eligibility_criteria
NCT03526835,ERBB2,eligibility_criteria
NCT03526835,KRAS,eligibility_criteria
NCT03526835,NRAS,eligibility_criteria
NCT04494425,CDK4,eligibility_criteria
NCT04494425,ERBB2,eligibility_criteria
NCT03330847,ERBB2,eligibility_criteria
NCT04423185,ALK,eligibility_criteria
NCT04423185,BRAF,eligibility_criteria
NCT04423185,BRCA1,eligibility_criteria
NCT04423185,CDKN2A,eligibility_criteria
NCT04423185,EGFR,eligibility_criteria
NCT04423185,KIT,eligibility_criteria
NCT04423185,MET,eligibility_criteria
NCT05020457,ALK,eligibility_criteria
NCT05020457,BRAF,eligibility_criteria
NCT05020457,EGFR,eligibility_criteria
NCT05020457,ERBB2,eligibility_criteria
NCT05020457,KRAS,eligibility_criteria
NCT05020457,MET,eligibility_criteria
NCT05020457,RET,eligibility_criteria
NCT05020457,ROS1,eligibility_criteria
NCT05760612,ERBB2,eligibility_criteria
NCT05503667,EGFR,eligibility_criteria
NCT04743505,EGFR,eligibility_criteria
NCT06788990,EGFR,eligibility_criteria
NCT04868162,EGFR,eligibility_criteria
NCT07183189,EGFR,eligibility_criteria
NCT07303218,ALK,eligibility_criteria
NCT07303218,EGFR,eligibility_criteria
NCT07303218,ROS1,eligibility_criteria
NCT07303218,TP53,eligibility_criteria
NCT03911973,BRCA1,eligibility_criteria
NCT03911973,ERBB2,eligibility_criteria
NCT06590857,ERBB2,eligibility_criteria
NCT04906395,ERBB2,eligibility_criteria
NCT04676477,EGFR,eligibility_criteria
NCT06305754,EGFR,eligibility_criteria
NCT07005102,EGFR,eligibility_criteria
NCT06517953,EGFR,eligibility_criteria
NCT04117945,BRAF,eligibility_criteria
NCT04117945,KRAS,eligibility_criteria
NCT04117945,NRAS,eligibility_criteria
NCT05445791,EGFR,eligibility_criteria
NCT05047250,ALK,eligibility_criteria
NCT05047250,EGFR,eligibility_criteria
NCT03332797,CDK4,eligibility_criteria
NCT03332797,ERBB2,eligibility_criteria
NCT05735496,ERBB2,eligibility_criteria
NCT07117890,EGFR,eligibility_criteria
NCT06097962,ALK,eligibility_criteria
NCT06097962,EGFR,eligibility_criteria
NCT06097962,ROS1,eligibility_criteria
NCT06348134,ERBB2,eligibility_criteria
NCT01957332,ERBB2,eligibility_criteria
NCT07584499,EGFR,eligibility_criteria
NCT05991193,EGFR,eligibility_criteria
NCT07398599,EGFR,eligibility_criteria
NCT04784715,ERBB2,eligibility_criteria
NCT07554521,ERBB2,eligibility_criteria
NCT06827236,ERBB2,eligibility_criteria
NCT04606771,EGFR,eligibility_criteria
NCT04606771,MET,eligibility_criteria
NCT06710132,EGFR,eligibility_criteria
NCT06710132,ERBB2,eligibility_criteria
NCT05994131,ALK,eligibility_criteria
NCT05994131,EGFR,eligibility_criteria
NCT05994131,ERBB2,eligibility_criteria
NCT05994131,MET,eligibility_criteria
NCT05113251,ERBB2,eligibility_criteria
NCT06106802,EGFR,eligibility_criteria
NCT06106802,MET,eligibility_criteria
NCT06682793,EGFR,eligibility_criteria
NCT06431243,ALK,eligibility_criteria
NCT06431243,BRAF,eligibility_criteria
NCT06431243,EGFR,eligibility_criteria
NCT06431243,ERBB2,eligibility_criteria
NCT06431243,FGFR2,eligibility_criteria
NCT06431243,ROS1,eligibility_criteria
NCT06745908,ALK,eligibility_criteria
NCT06745908,BRAF,eligibility_criteria
NCT06745908,EGFR,eligibility_criteria
NCT06745908,ERBB2,eligibility_criteria
NCT06745908,KRAS,eligibility_criteria
NCT06745908,MET,eligibility_criteria
NCT06745908,RET,eligibility_criteria
NCT06745908,ROS1,eligibility_criteria
NCT06080776,EGFR,eligibility_criteria
NCT03908788,BRAF,eligibility_criteria
NCT03908788,EGFR,eligibility_criteria
NCT06702618,CDK4,eligibility_criteria
NCT06702618,ERBB2,eligibility_criteria
NCT07536113,BRAF,eligibility_criteria
NCT07536113,EGFR,eligibility_criteria
NCT04687241,EGFR,eligibility_criteria
NCT05332002,ERBB2,eligibility_criteria
NCT07389265,BRAF,eligibility_criteria
NCT07389265,EGFR,eligibility_criteria
NCT07389265,ERBB2,eligibility_criteria
NCT07389265,KRAS,eligibility_criteria
NCT07389265,NRAS,eligibility_criteria
NCT07389265,PIK3CA,eligibility_criteria
NCT07310420,CDK4,eligibility_criteria
NCT07310420,ERBB2,eligibility_criteria
NCT07310420,PIK3CA,eligibility_criteria
NCT07448480,BRAF,eligibility_criteria
NCT07448480,IDH1,eligibility_criteria
NCT07448480,IDH2,eligibility_criteria
NCT06072586,EGFR,eligibility_criteria
NCT06521554,ERBB2,eligibility_criteria
NCT05161195,ERBB2,eligibility_criteria
NCT07181681,EGFR,eligibility_criteria
NCT07181681,MET,eligibility_criteria
NCT06970639,ALK,eligibility_criteria
NCT06970639,BRAF,eligibility_criteria
NCT06970639,EGFR,eligibility_criteria
NCT06970639,RET,eligibility_criteria
NCT07100106,CDK4,eligibility_criteria
NCT07100106,ERBB2,eligibility_criteria
NCT05195619,ALK,eligibility_criteria
NCT05195619,EGFR,eligibility_criteria
NCT02143466,EGFR,eligibility_criteria
NCT05370469,ALK,eligibility_criteria
NCT05370469,BRAF,eligibility_criteria
NCT05370469,EGFR,eligibility_criteria
NCT05370469,KRAS,eligibility_criteria
NCT05370469,MET,eligibility_criteria
NCT05370469,RET,eligibility_criteria
NCT05370469,ROS1,eligibility_criteria
NCT05308446,BRAF,eligibility_criteria
NCT05308446,EGFR,eligibility_criteria
NCT05308446,MLH1,eligibility_criteria
NCT05308446,MSH2,eligibility_criteria
NCT05308446,MSH6,eligibility_criteria
NCT06958627,ERBB2,eligibility_criteria
NCT05681780,ALK,eligibility_criteria
NCT05681780,EGFR,eligibility_criteria
NCT05681780,ERBB2,eligibility_criteria
NCT05681780,ROS1,eligibility_criteria
NCT07136779,EGFR,eligibility_criteria
NCT05639413,BRAF,eligibility_criteria
NCT06014827,EGFR,eligibility_criteria
NCT06863818,EGFR,eligibility_criteria
NCT02193282,ALK,eligibility_criteria
NCT02193282,EGFR,eligibility_criteria
NCT05735080,CDK4,eligibility_criteria
NCT05735080,ERBB2,eligibility_criteria
NCT05017025,EGFR,eligibility_criteria
NCT07295821,EGFR,eligibility_criteria
NCT07522879,EGFR,eligibility_criteria
NCT06869473,EGFR,eligibility_criteria
NCT05236946,ALK,eligibility_criteria
NCT05236946,EGFR,eligibility_criteria
NCT05522660,BRAF,eligibility_criteria
NCT07563205,EGFR,eligibility_criteria
NCT04185883,KRAS,eligibility_criteria
NCT07071337,ERBB2,eligibility_criteria
NCT06328465,ERBB2,eligibility_criteria
NCT06269133,ALK,eligibility_criteria
NCT06269133,EGFR,eligibility_criteria
NCT06269133,ROS1,eligibility_criteria
NCT04216121,EGFR,eligibility_criteria
NCT03042221,ALK,eligibility_criteria
NCT03042221,BRAF,eligibility_criteria
NCT03042221,EGFR,eligibility_criteria
NCT03042221,ROS1,eligibility_criteria
NCT05029999,ERBB2,eligibility_criteria
NCT05908734,EGFR,eligibility_criteria
NCT05382728,EGFR,eligibility_criteria
NCT03866499,EGFR,eligibility_criteria
NCT02226276,ERBB2,eligibility_criteria
NCT06394661,ERBB2,eligibility_criteria
NCT03775486,ALK,eligibility_criteria
NCT03775486,EGFR,eligibility_criteria
NCT07403136,EGFR,eligibility_criteria
NCT06923527,ERBB2,eligibility_criteria
NCT04591002,EGFR,eligibility_criteria
NCT06833853,ERBB2,eligibility_criteria
NCT02609776,ALK,eligibility_criteria
NCT02609776,EGFR,eligibility_criteria
NCT02609776,MET,eligibility_criteria
NCT05845671,ALK,eligibility_criteria
NCT05845671,EGFR,eligibility_criteria
NCT05845671,MET,eligibility_criteria
NCT05845671,RET,eligibility_criteria
NCT05845671,ROS1,eligibility_criteria
NCT05979818,ALK,eligibility_criteria
NCT05979818,EGFR,eligibility_criteria
NCT05979818,ROS1,eligibility_criteria
NCT07484724,EGFR,eligibility_criteria
NCT06081907,ALK,eligibility_criteria
NCT06081907,BRAF,eligibility_criteria
NCT06081907,EGFR,eligibility_criteria
NCT06081907,ERBB2,eligibility_criteria
NCT06081907,RET,eligibility_criteria
NCT06081907,ROS1,eligibility_criteria
NCT05261399,EGFR,eligibility_criteria
NCT05261399,MET,eligibility_criteria
NCT05187832,ERBB2,eligibility_criteria
NCT06303167,EGFR,eligibility_criteria
NCT07544992,EGFR,eligibility_criteria
NCT06947694,ALK,eligibility_criteria
NCT06947694,BRAF,eligibility_criteria
NCT06947694,EGFR,eligibility_criteria
NCT06947694,MET,eligibility_criteria
NCT06947694,RET,eligibility_criteria
NCT06452277,ERBB2,eligibility_criteria
NCT05910827,ALK,eligibility_criteria
NCT05910827,BRAF,eligibility_criteria
NCT05910827,EGFR,eligibility_criteria
NCT05910827,KRAS,eligibility_criteria
NCT05910827,MET,eligibility_criteria
NCT05910827,RET,eligibility_criteria
NCT05466149,EGFR,eligibility_criteria
NCT06741085,EGFR,eligibility_criteria
NCT06940401,EGFR,eligibility_criteria
NCT07110883,ALK,eligibility_criteria
NCT07110883,BRAF,eligibility_criteria
NCT07110883,CDK4,eligibility_criteria
NCT07110883,EGFR,eligibility_criteria
NCT07110883,ERBB2,eligibility_criteria
NCT07110883,KRAS,eligibility_criteria
NCT07110883,MET,eligibility_criteria
NCT07110883,RET,eligibility_criteria
