device_id,device_name,platform_type,specimen_types,gene,drug
cdx:ABBOTTREALTIMEI:IDH1:IVOSIDENIB,"Abbott RealTime IDH1  (Abbott Molecular, Inc.)",PCR,Bone marrow;Peripheral Blood,IDH1,Ivosidenib
cdx:ABBOTTREALTIMEI:IDH1:OLUTASIDENIB,"Abbott RealTime IDH1  (Abbott Molecular, Inc.)",PCR,Bone marrow;Peripheral Blood,IDH1,Olutasidenib
cdx:ABBOTTREALTIMEI:IDH2:ENASIDENIB,"Abbott RealTime IDH2  (Abbott Molecular, Inc.)",PCR,Bone marrow;Peripheral Blood,IDH2,Enasidenib
cdx:AGILENTRESOLUTI:KRAS:ADAGRASIB,"Agilent Resolution ctDx FIRST assay  (Resolution Bioscience, Inc.)",NGS,cfDNA from plasma,KRAS,Adagrasib
cdx:BRACANALYSISCDX:BRCA1:OLAPARIB,"BRACAnalysis CDx  (Myriad Genetic Laboratories, Inc.)",PCR and Sanger sequencing,Whole blood,BRCA1,Olaparib
cdx:BRACANALYSISCDX:BRCA2:OLAPARIB,"BRACAnalysis CDx  (Myriad Genetic Laboratories, Inc.)",PCR and Sanger sequencing,Whole blood,BRCA2,Olaparib
cdx:BRACANALYSISCDX:BRCA1:RUCAPARIB,"BRACAnalysis CDx  (Myriad Genetic Laboratories, Inc.)",PCR and Sanger sequencing,Whole blood,BRCA1,Rucaparib
cdx:BRACANALYSISCDX:BRCA2:RUCAPARIB,"BRACAnalysis CDx  (Myriad Genetic Laboratories, Inc.)",PCR and Sanger sequencing,Whole blood,BRCA2,Rucaparib
cdx:COBAS4800BRAFV6:BRAF:VEMURAFENIB,"cobas 4800 BRAF V600 Mutation Test  (Roche Molecular Systems, Inc.)",PCR,FFPE,BRAF,Vemurafenib
cdx:COBAS4800BRAFV6:BRAF:VEMURAFENIBCOBI,"cobas 4800 BRAF V600 Mutation Test  (Roche Molecular Systems, Inc.)",PCR,FFPE,BRAF,Vemurafenib+Cobimetinib
cdx:COBASEGFRMUTATI:EGFR:ERLOTINIB,"cobas EGFR Mutation Test v1  (Roche Molecular Systems, Inc.)",PCR,FFPE,EGFR,Erlotinib
cdx:COBASEGFRMUTATI:EGFR:OSIMERTINIB,"cobas EGFR Mutation Test v2  (Roche Molecular Systems, Inc.)",PCR,FFPE,EGFR,Osimertinib
cdx:COBASEGFRMUTATI:EGFR:GEFITINIB,"cobas EGFR Mutation Test v2  (Roche Molecular Systems, Inc.)",PCR,FFPE,EGFR,Gefitinib
cdx:COBASEGFRMUTATI:EGFR:AFATINIB,"cobas EGFR Mutation Test v2  (Roche Molecular Systems, Inc.)",PCR,FFPE,EGFR,Afatinib
cdx:COBASEZH2MUTATI:EZH2:TAZEMETOSTAT,"cobas EZH2 Mutation Test  (Roche Molecular Systems, Inc.)",PCR,FFPE,EZH2,Tazemetostat
cdx:COBASKRASMUTATI:KRAS:CETUXIMABCETUXI,"cobas KRAS Mutation Test  (Roche Molecular Systems, Inc.)",PCR,FFPE,KRAS,"Cetuximab,Cetuximab+Chemotherapy"
cdx:COBASKRASMUTATI:KRAS:PANITUMUMABPANI,"cobas KRAS Mutation Test  (Roche Molecular Systems, Inc.)",PCR,FFPE,KRAS,"Panitumumab,Panitumumab+Chemotherapy"
cdx:CRCDXRASMUTATIO:KRAS:PANITUMUMABPANI,"CRCDx RAS Mutation Detection Assay Kit  (EntroGen, Inc.)",PCR,FFPE,KRAS,"Panitumumab,Panitumumab+Chemotherapy"
cdx:CRCDXRASMUTATIO:NRAS:PANITUMUMABPANI,"CRCDx RAS Mutation Detection Assay Kit  (EntroGen, Inc.)",PCR,FFPE,NRAS,"Panitumumab,Panitumumab+Chemotherapy"
cdx:FOUNDATIONFOCUS:BRCA1:RUCAPARIB,"FoundationFocus CDxBRCA Assay  (Foundation Medicine, Inc.)",NGS,FFPE,BRCA1,Rucaparib
cdx:FOUNDATIONFOCUS:BRCA2:RUCAPARIB,"FoundationFocus CDxBRCA Assay  (Foundation Medicine, Inc.)",NGS,FFPE,BRCA2,Rucaparib
cdx:FOUNDATIONONECD:BRCA1:OLAPARIB,"FoundationOne CDx  (Foundation Medicine, Inc.)",NGS,FFPE,BRCA1,Olaparib
