drug_claim_name,nomenclature,concept_id,drug_name,approved,immunotherapy,anti_neoplastic,source_db_name,source_db_version,fda_approval_year,biomarker,drug_class,mechanism
BRAF(V600E) Kinase Inhibitor RO5212054,Primary Drug Name,ncit:C92591,BRAF(V600E) KINASE INHIBITOR RO5212054,False,False,True,NCIt,24.02d,,,,
clonidine hydrochloride,Primary Drug Name,rxcui:142432,CLONIDINE HYDROCHLORIDE,True,False,False,RxNorm,20240401,,,,
misoprostol,Primary Drug Name,rxcui:42331,MISOPROSTOL,True,False,False,RxNorm,20240401,,,,
hydrochlorothiazide,Primary Drug Name,rxcui:5487,HYDROCHLOROTHIAZIDE,True,False,False,RxNorm,20240401,,,,
Dactolisib,Primary Drug Name,ncit:C74072,DACTOLISIB,False,False,True,NCIt,24.02d,,,,
palbociclib,Primary Drug Name,rxcui:1601374,PALBOCICLIB,True,False,True,RxNorm,20240401,2015.0,HR+/ HER2-,Small molecule kinase inhibitor,CDK4/6 inhibitor
afatinib,Primary Drug Name,rxcui:1430438,AFATINIB,True,False,True,RxNorm,20240401,2013.0,"EGFR L858R, G719X, L861Q, S768I, Exon 19 Deletions",Small molecule kinase inhibitor,EGFR tyrosine kinase inhibitor
ceritinib,Primary Drug Name,rxcui:1535457,CERITINIB,True,False,True,RxNorm,20240401,2014.0,ALK+ (ALK Fusions),Small molecule kinase inhibitor,ALK inhibitor
Foretinib,Primary Drug Name,ncit:C80058,FORETINIB,False,False,True,NCIt,24.02d,,,,
Glesatinib,Primary Drug Name,ncit:C77876,GLESATINIB,False,False,True,NCIt,24.02d,,,,
Onalespib,Primary Drug Name,ncit:C85454,ONALESPIB,False,False,True,NCIt,24.02d,,,,
enzalutamide,Primary Drug Name,rxcui:1307298,ENZALUTAMIDE,True,False,True,RxNorm,20240401,,,,
darolutamide,Primary Drug Name,rxcui:2180325,DAROLUTAMIDE,True,False,True,RxNorm,20240401,,,,
docetaxel anhydrous,Primary Drug Name,rxcui:1299922,DOCETAXEL ANHYDROUS,True,False,True,RxNorm,20240401,,,,
