nct_id,title,status,phase,conditions,keywords,interventions
NCT05020275,Resistance to the Tyrosine Kinase Inhibitor Osimertinib and Pharmacokinetics in Non-small Cell Lung Cancer,ACTIVE_NOT_RECRUITING,NA,Lung Cancer,Non-small Cell Lung cancer | Osimertinib | Resistance | Pharmacokinetics,Blood Samples
NCT05176665,EMB-01 in Patients With Advanced/Metastatic Gastrointestinal Cancers,RECRUITING,"PHASE1, PHASE2",Neoplasms | Neoplasm Metastasis | Metastatic Gastrointestinal Carcinoid Tumor,Human Bispecific antibody | Epidermal Growth Factor Receptor (EGFR) | c-Mesenchymal-Epithelial Transition (cMet) | Neoplasms， Neoplasm Metastasis | Neoplasm Metastasis | EMB-01，Tyrosine Kinase Inhibitor (TKI) Resistant,EMB-01
NCT06314997,Dynamic Changes in Circulating Tumour Cells Protein Expression,RECRUITING,PHASE2,Recurrence Free Survival,,panitumumab (EGFR inhibitors)
NCT07155187,A Study to Assess Adverse Events and Change in Disease Activity of Intravenous (IV) Telisotuzumab Adizutecan Compared to Standard of Care in Adult Participants With Locally Advanced or Metastatic EGFR-Mutated Non-Squamous Non-Small Cell Lung Cancer,RECRUITING,"PHASE2, PHASE3",Non-Small Cell Lung Cancer,"Non-Small Cell Lung Cancer | Telisotuzumab Adizutecan | ABBV-400, Standard of Care | Cancer | AndroMETa-Lung-713",Telisotuzumab Adizutecan | Standard of Care
NCT07257653,The Safety and Efficacy of Cetuximab Beta Plus Fruquintinib With or Without Immune Checkpoint Inhibitorrs in First-line Treatment of RAS/BRAF Wild Type Unresectable Metastatic Colorectal Cancer,RECRUITING,PHASE2,Colorectal Neoplasms | RAS | BRAF | Cetuximabβ | Fruquintinib,Colorectal cancer | Chemotherapy-free | KRAS/NRAS/BRAF wild-type | cetuximab combined with fruquintinib | with or without immune checkpoint inhibitors,Cetuximab β；Fruquintinib； | Cetuximab β；Fruquintinib；anti-PD1 antibody； | Cetuximab β；Fruquintinib；anti-PD1/CTLA4 antibody
NCT06186401,Anti-EGFRvIII synNotch Receptor Induced Anti-EphA2/IL-13Ralpha2 CAR (E-SYNC) T Cells,RECRUITING,PHASE1,EGFR Gene Mutation | Glioblastoma | MGMT-Unmethylated Glioblastoma | Recurrent Glioblastoma,Immunotherapy | CAR T Therapy,E-SYNC T Cells | Cyclophosphamide (non-investigational) | Fludarabine (non-investigational) | Leukapheresis | Surgical resection
NCT03526835,A Study of Bispecific Antibody MCLA-158 in Patients With Advanced Solid Tumors,RECRUITING,"PHASE1, PHASE2",Advanced/Metastatic Solid Tumors | Colorectal Cancer | Gastric Cancer | Gastroesophageal-junction Cancer | NSCLC | HNSCC | Head and Neck Squamous Cell Carcinoma | Esophageal Cancer,Bispecific antibody | First-in-human | MCLA-158 | Antibodies | Bispecific | immunologic factors | Cytokines | EGFR | LGR5,MCLA-158 | MCLA-158 + Pembrolizumab | MCLA-158 + FOLFIRI | MCLA-158 + FOLFOX
NCT04494425,"Study of Trastuzumab Deruxtecan (T-DXd) vs Investigator's Choice Chemotherapy in HER2-low, Hormone Receptor Positive, Metastatic Breast Cancer",ACTIVE_NOT_RECRUITING,PHASE3,Advanced or Metastatic Breast Cancer,Breast Cancer | HR positive | HER2-Low | HER2-Negative | Trastuzumab Deruxtecan (T-DXd; DS-8201a) | Anti-HER2-Antibody Drug Conjugate (ADC) | DESTINY-Breast06,Trastuzumab deruxtecan | Capecitabine | Paclitaxel | Nab-Paclitaxel
NCT03330847,To Assess Safety and Efficacy of Agents Targeting DNA Damage Repair With Olaparib Versus Olaparib Monotherapy.,ACTIVE_NOT_RECRUITING,PHASE2,Metastatic Triple Negative Breast Cancer,Germline BRCA mutation | Human epidermal growth factor receptor 2 | Olaparib | Homologous Recombinant Repair (HRR)-related Genes,Olaparib Continuous (28-Day cycle) 300 mg BD. | Ceralasertib 160 mg OD + olaparib continuous 300 mg BD (28-day cycle). | Adavosertib 150 mg BD + olaparib 200 mg BD (21-day cycle).
NCT04423185,PLATFORM Study of Precision Medicine for Rare Tumors,RECRUITING,PHASE2,Rare Tumor,Rare tumor | NGS | actionable alterations | precision medicine | immunotherapy,Almonertinib 110 MG | Dacomitinib 45 MG | Alectinib 150 MG | Crizotinib 250 MG | Pyrotinib 160/80 MG | Imatinib 400 MG | Niraparib 200/300 MG | Palbociclib 125mg | Vemurafenib 240 MG | Sintilimab 100MG | Atezolizumab 1680 MG
