gene_claim_name	nomenclature	concept_id	gene_name	source_db_name	source_db_version
NGFIBA	NCBI Gene Name	NULL	NULL	BaderLab	Feb-14
NGFIBB	NCBI Gene Name	NULL	NULL	BaderLab	Feb-14
DAX	NCBI Gene Name	NULL	NULL	BaderLab	Feb-14
REV-ERBA	NCBI Gene Name	NULL	NULL	BaderLab	Feb-14
COUP2	NCBI Gene Name	NULL	NULL	BaderLab	Feb-14
NGFIBG	NCBI Gene Name	NULL	NULL	BaderLab	Feb-14
COUP1	NCBI Gene Name	NULL	NULL	BaderLab	Feb-14
REV-ERBB	NCBI Gene Name	NULL	NULL	BaderLab	Feb-14
COUP3	NCBI Gene Name	NULL	NULL	BaderLab	Feb-14
PXR	NCBI Gene Name	hgnc:7968	NR1I2	BaderLab	Feb-14
AKT1	Gene Symbol	hgnc:391	AKT1	CancerCommons	25-Jul-13
CDK4	Gene Symbol	hgnc:1773	CDK4	CancerCommons	25-Jul-13
CDK5	Gene Symbol	hgnc:1774	CDK5	CancerCommons	25-Jul-13
CDK9	Gene Symbol	hgnc:1780	CDK9	CancerCommons	25-Jul-13
CDK7	Gene Symbol	hgnc:1778	CDK7	CancerCommons	25-Jul-13
RXRB	NCBI Gene Name	hgnc:10478	RXRB	BaderLab	Feb-14
RORG	NCBI Gene Name	hgnc:10260	RORC	BaderLab	Feb-14
RORB	NCBI Gene Name	hgnc:10259	RORB	BaderLab	Feb-14
TR2	NCBI Gene Name	hgnc:7971	NR2C1	BaderLab	Feb-14
LRH1	NCBI Gene Name	hgnc:7984	NR5A2	BaderLab	Feb-14
LXRA	NCBI Gene Name	hgnc:7966	NR1H3	BaderLab	Feb-14
RXRG	NCBI Gene Name	hgnc:10479	RXRG	BaderLab	Feb-14
FXR	NCBI Gene Name	hgnc:7967	NR1H4	BaderLab	Feb-14
SF1	NCBI Gene Name	hgnc:12950	SF1	BaderLab	Feb-14
HNF4A	NCBI Gene Name	hgnc:5024	HNF4A	BaderLab	Feb-14
MAP2K1	Gene Symbol	hgnc:6840	MAP2K1	CancerCommons	25-Jul-13
PIK3CA	Gene Symbol	hgnc:8975	PIK3CA	CancerCommons	25-Jul-13
MTOR	Gene Symbol	hgnc:3942	MTOR	CancerCommons	25-Jul-13
CDK2	Gene Symbol	hgnc:1771	CDK2	CancerCommons	25-Jul-13
HSP90AA1	Gene Symbol	hgnc:5253	HSP90AA1	CancerCommons	25-Jul-13
NOTCH1	Gene Symbol	hgnc:7881	NOTCH1	CancerCommons	25-Jul-13
FGFR1	Gene Symbol	hgnc:3688	FGFR1	CancerCommons	25-Jul-13
TR4	NCBI Gene Name	hgnc:7972	NR2C2	BaderLab	Feb-14
PPARA	NCBI Gene Name	hgnc:9232	PPARA	BaderLab	Feb-14
GR	NCBI Gene Name	hgnc:7978	NR3C1	BaderLab	Feb-14
PR	NCBI Gene Name	hgnc:18216	TMEM37	BaderLab	Feb-14
RXRA	NCBI Gene Name	hgnc:10477	RXRA	BaderLab	Feb-14
CAR	NCBI Gene Name	hgnc:11237	SPG7	BaderLab	Feb-14
LXRB	NCBI Gene Name	hgnc:7965	NR1H2	BaderLab	Feb-14
PNR	NCBI Gene Name	hgnc:30236	TAAR5	BaderLab	Feb-14
RARA	NCBI Gene Name	hgnc:9864	RARA	BaderLab	Feb-14
AR	NCBI Gene Name	hgnc:644	AR	BaderLab	Feb-14
PPARG	NCBI Gene Name	hgnc:9236	PPARG	BaderLab	Feb-14
HNF4G	NCBI Gene Name	hgnc:5026	HNF4G	BaderLab	Feb-14
VDR	NCBI Gene Name	hgnc:12679	VDR	BaderLab	Feb-14
MR	NCBI Gene Name	hgnc:7979	NR3C2	BaderLab	Feb-14
ERRG	NCBI Gene Name	hgnc:3474	ESRRG	BaderLab	Feb-14
PPARD	NCBI Gene Name	hgnc:9235	PPARD	BaderLab	Feb-14
ERRB	NCBI Gene Name	hgnc:3473	ESRRB	BaderLab	Feb-14
RORA	NCBI Gene Name	hgnc:10258	RORA	BaderLab	Feb-14
ASIC1	Gene Symbol	hgnc:100	ASIC1	NCBI	20240410
AKAP9	Gene Symbol	hgnc:379	AKAP9	CarisMolecularIntelligence	9/4/20
AR	Gene Symbol	hgnc:644	AR	CarisMolecularIntelligence	9/4/20
ADGRA2	Gene Symbol	hgnc:17849	ADGRA2	CarisMolecularIntelligence	9/4/20
CTLA4	Gene Symbol	hgnc:2505	CTLA4	CancerCommons	25-Jul-13
EGFR	Gene Symbol	hgnc:3236	EGFR	CancerCommons	25-Jul-13
AR	Gene Symbol	hgnc:644	AR	CancerCommons	25-Jul-13
FOLH1	Gene Symbol	hgnc:3788	FOLH1	CancerCommons	25-Jul-13
KDR	Gene Symbol	hgnc:6307	KDR	CancerCommons	25-Jul-13
SRC	Gene Symbol	hgnc:11283	SRC	CancerCommons	25-Jul-13
CLU	Gene Symbol	hgnc:2095	CLU	CancerCommons	25-Jul-13
HSPB1	Gene Symbol	hgnc:5246	HSPB1	CancerCommons	25-Jul-13
HDAC1	Gene Symbol	hgnc:4852	HDAC1	CancerCommons	25-Jul-13
AFF3	Gene Symbol	hgnc:6473	AFF3	CarisMolecularIntelligence	9/4/20
ALDH2	Gene Symbol	hgnc:404	ALDH2	CarisMolecularIntelligence	9/4/20
AMER1	Gene Symbol	hgnc:26837	AMER1	CarisMolecularIntelligence	9/4/20
ASXL1	Gene Symbol	hgnc:18318	ASXL1	CarisMolecularIntelligence	9/4/20
ARHGAP26	Gene Symbol	hgnc:17073	ARHGAP26	CarisMolecularIntelligence	9/4/20
ARNT	Gene Symbol	hgnc:700	ARNT	CarisMolecularIntelligence	9/4/20
ABL	Gene Symbol	hgnc:76	ABL1	CarisMolecularIntelligence	9/4/20
ATF1	Gene Symbol	hgnc:783	ATF1	CarisMolecularIntelligence	9/4/20
FGFR3	Gene Symbol	hgnc:3690	FGFR3	CancerCommons	25-Jul-13
FGFR4	Gene Symbol	hgnc:3691	FGFR4	CancerCommons	25-Jul-13
FLT3	Gene Symbol	hgnc:3765	FLT3	CancerCommons	25-Jul-13
CD274	Gene Symbol	hgnc:17635	CD274	CancerCommons	25-Jul-13
PDCD1	Gene Symbol	hgnc:8760	PDCD1	CancerCommons	25-Jul-13
ROS1	Gene Symbol	hgnc:10261	ROS1	CancerCommons	25-Jul-13
FLT1	Gene Symbol	hgnc:3763	FLT1	CancerCommons	25-Jul-13
KRAS	Gene Symbol	hgnc:6407	KRAS	CancerCommons	25-Jul-13
CYP17A1	Gene Symbol	hgnc:2593	CYP17A1	CancerCommons	25-Jul-13
FLT4	Gene Symbol	hgnc:3767	FLT4	CancerCommons	25-Jul-13
PDGFB	Gene Symbol	hgnc:8800	PDGFB	CancerCommons	25-Jul-13
PTK2B	Gene Symbol	hgnc:9612	PTK2B	CancerCommons	25-Jul-13
EIF4E	Gene Symbol	hgnc:3287	EIF4E	CancerCommons	25-Jul-13
PARP2	Gene Symbol	hgnc:272	PARP2	CancerCommons	25-Jul-13
AFF1	Gene Symbol	hgnc:7135	AFF1	CarisMolecularIntelligence	9/4/20
AFDN	Gene Symbol	hgnc:7137	AFDN	CarisMolecularIntelligence	9/4/20
ACSL3	Gene Symbol	hgnc:3570	ACSL3	CarisMolecularIntelligence	9/4/20
ACKR3	Gene Symbol	hgnc:23692	ACKR3	CarisMolecularIntelligence	9/4/20
ALK	Gene Symbol	hgnc:427	ALK	CarisMolecularIntelligence	9/4/20
ARID2	Gene Symbol	hgnc:18037	ARID2	CarisMolecularIntelligence	9/4/20
ABL2	Gene Symbol	hgnc:77	ABL2	CarisMolecularIntelligence	9/4/20
ARAF	Gene Symbol	hgnc:646	ARAF	CarisMolecularIntelligence	9/4/20
ATM	Gene Symbol	hgnc:795	ATM	CarisMolecularIntelligence	9/4/20
AKT2	Gene Symbol	hgnc:392	AKT2	CarisMolecularIntelligence	9/4/20
ABI1	Gene Symbol	hgnc:11320	ABI1	CarisMolecularIntelligence	9/4/20
ATP1A1	Gene Symbol	hgnc:799	ATP1A1	CarisMolecularIntelligence	9/4/20
AKT3	Gene Symbol	hgnc:393	AKT3	CarisMolecularIntelligence	9/4/20
BRD3	Gene Symbol	hgnc:1104	BRD3	CarisMolecularIntelligence	9/4/20
