system,budget,retr_recall,mean_ctx_words
rag_dense,100,0.13854372123602895,92.11834319526628
rag_dense,150,0.18011176857330702,141.11834319526628
rag_dense,200,0.19337606837606838,190.88757396449705
rag_dense,300,0.22143326758711376,288.93491124260356
rag_dense,450,0.2510190664036818,436.8757396449704
rag_dense,600,0.2667981591058514,587.9112426035502
rag_dense,750,0.2838663473278858,738.8639053254437
rag_dense,900,0.2927420869728562,887.3076923076923
rag_dense,1100,0.305020193481732,1088.0414201183432
rag_dense,1400,0.3390438621207852,1388.6449704142012
rag_dense,1800,0.35714755330139947,1787.1065088757396
rag_dense,2400,0.3898469052315206,2388.1360946745563
rag_bm25,100,0.5408847562693716,87.80473372781066
rag_bm25,150,0.5817624683009299,124.15384615384616
rag_bm25,200,0.6207664130741054,166.94082840236686
rag_bm25,300,0.7114961961115807,263.698224852071
rag_bm25,450,0.7647741147741147,414.3491124260355
rag_bm25,600,0.7986733352117968,566.4319526627219
rag_bm25,750,0.821076359537898,715.9112426035502
rag_bm25,900,0.8353268526345449,867.8698224852071
rag_bm25,1100,0.8575725556494788,1066.8343195266273
rag_bm25,1400,0.8695054945054944,1363.5739644970415
rag_bm25,1800,0.89264816380201,1765.3491124260354
rag_bm25,2400,0.9342796092796094,2364.130177514793
rag_hybrid,100,0.5634521461444538,82.37278106508876
rag_hybrid,150,0.6171010613318305,125.28994082840237
rag_hybrid,200,0.6628604301681225,173.95857988165682
rag_hybrid,300,0.7326406499483422,271.1775147928994
rag_hybrid,450,0.7690311824927208,424.14201183431953
rag_hybrid,600,0.78998778998779,578.3136094674556
rag_hybrid,750,0.8030055414670798,724.1597633136095
rag_hybrid,900,0.8248990325913403,879.9289940828403
rag_hybrid,1100,0.8346294730910114,1075.9704142011835
rag_hybrid,1400,0.8506058044519582,1374.7100591715975
rag_hybrid,1800,0.8747417112801729,1778.6686390532545
rag_hybrid,2400,0.8890321217244294,2373.3491124260354
graphrag,100,1.0,35.8
graphrag,150,1.0,35.8
graphrag,200,1.0,35.8
graphrag,300,1.0,35.8
graphrag,450,1.0,35.8
graphrag,600,1.0,35.8
graphrag,750,1.0,35.8
graphrag,900,1.0,35.8
graphrag,1100,1.0,35.8
graphrag,1400,1.0,35.8
graphrag,1800,1.0,35.8
graphrag,2400,1.0,35.8
