system,depth,terminal_recall,chain_recall,n_questions
graphrag,1,1.0,,91
rag_bm25,1,0.8022,,91
rag_hybrid,1,0.8462,,91
rag_dense,1,0.2747,,91
graphrag,2,1.0,1.0,91
rag_bm25,2,0.8352,0.8571,91
rag_hybrid,2,0.8681,0.8681,91
rag_dense,2,0.1429,0.2418,91
graphrag,4,0.989,0.956,91
rag_bm25,4,0.8791,0.8462,91
rag_hybrid,4,0.8791,0.8132,91
rag_dense,4,0.1978,0.033,91
graphrag,5,0.967,0.9304,91
rag_bm25,5,0.4725,0.5861,91
rag_hybrid,5,0.4176,0.3187,91
rag_dense,5,0.1648,0.1465,91
graphrag,6,0.989,0.9368,91
rag_bm25,6,0.6374,0.7033,91
rag_hybrid,6,0.6374,0.6181,91
rag_dense,6,0.2308,0.1346,91
graphrag,7,0.5824,0.767,91
rag_bm25,7,0.0989,0.6923,91
rag_hybrid,7,0.0879,0.6725,91
rag_dense,7,0.044,0.1824,91
graphrag,8,0.4505,0.707,91
rag_bm25,8,0.022,0.5916,91
rag_hybrid,8,0.022,0.5861,91
rag_dense,8,0.0,0.119,91
