system,hop_count,f1_mean,ci_lo,ci_hi,n
graphrag,2,1.0,1.0,1.0,41
graphrag,3,1.0,1.0,1.0,40
graphrag,4,0.975,0.925,1.0,40
graphrag,5,1.0,1.0,1.0,48
rag_dense,2,0.4984901277584204,0.35903600464576074,0.6379500580720092,41
rag_dense,3,0.05,0.0,0.125,40
rag_dense,4,0.09511904761904762,0.03333333333333333,0.17261904761904762,40
rag_dense,5,0.02777777777777778,0.0,0.0625,48
rag_bm25,2,0.7438874965190755,0.6093010473337815,0.8629868964416461,41
rag_bm25,3,0.9232936507936508,0.8695128968253968,0.9708402777777776,40
rag_bm25,4,0.7804848678601874,0.6953774598607559,0.8577489787581699,40
rag_bm25,5,0.30830026455026455,0.22085896164021163,0.40127769510582,48
rag_hybrid,2,0.7556212080602325,0.6308773543529641,0.8710468799493188,41
rag_hybrid,3,0.9266865079365079,0.8788035714285715,0.9684151785714286,40
rag_hybrid,4,0.7923301059554256,0.7128664291803678,0.8663316511387164,40
rag_hybrid,5,0.30104382332643204,0.20711686939268462,0.38993556978951005,48
