item_id,category,template,system,gold,ctx_words,ctx_empty,pred
T001,catena_spezzata,gene_to_drug,graphrag,NON DETERMINABILE,0,True,NON DETERMINABILE
T001,catena_spezzata,gene_to_drug,rag_bm25,NON DETERMINABILE,795,False,NON DETERMINABILE
T001,catena_spezzata,gene_to_drug,rag_hybrid,NON DETERMINABILE,973,False,NON DETERMINABILE
T001,catena_spezzata,gene_to_drug,rag_dense,NON DETERMINABILE,970,False,AMUVATINIB
T002,catena_spezzata,gene_to_drug,graphrag,NON DETERMINABILE,0,True,NON DETERMINABILE
T002,catena_spezzata,gene_to_drug,rag_bm25,NON DETERMINABILE,857,False,"AFATINIB, CRIZOTINIB"
T002,catena_spezzata,gene_to_drug,rag_hybrid,NON DETERMINABILE,972,False,AFATINIB
T002,catena_spezzata,gene_to_drug,rag_dense,NON DETERMINABILE,976,False,NON DETERMINABILE
T003,catena_spezzata,gene_to_drug,graphrag,NON DETERMINABILE,0,True,NON DETERMINABILE
T003,catena_spezzata,gene_to_drug,rag_bm25,NON DETERMINABILE,795,False,NON DETERMINABILE
T003,catena_spezzata,gene_to_drug,rag_hybrid,NON DETERMINABILE,975,False,NON DETERMINABILE
T003,catena_spezzata,gene_to_drug,rag_dense,NON DETERMINABILE,972,False,COMPOUND 74
T004,catena_spezzata,gene_to_drug,graphrag,NON DETERMINABILE,0,True,NON DETERMINABILE
T004,catena_spezzata,gene_to_drug,rag_bm25,NON DETERMINABILE,815,False,"AZATHIOPRINE, CISPLATIN, CYCLOPHOSPHAMIDE ANHYDROUS, CYCLOSPORINE, CYTARABINE, DAUNORUBICIN LIPOSOMAL, DOXORUBICIN HYDROCHLORIDE, MERCAPTOPURINE, OLANZAPINE, PEGASPARGASE, PREDNISONE, S-ADENOSYLMETHIONINE, THIOGUANINE, VINCRISTINE"
T004,catena_spezzata,gene_to_drug,rag_hybrid,NON DETERMINABILE,973,False,"AZATHIOPRINE, CISPLATIN, CYCLOPHOSPHAMIDE ANHYDROUS, CYCLOSPORINE, CYTARABINE, DAUNORUBICIN LIPOSOMAL, DOXORUBICIN HYDROCHLORIDE, MERCAPTOPURINE, OLANZAPINE, PEGASPARGASE, PREDNISONE, S-ADENOSYLMETHIONINE, THIOGUANINE, VINCRISTINE"
