qid,hop_count,qtype,system,precision,recall,f1,exact,n_pred,n_match,retr_recall,ctx_words,answer
Q001,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,1,1,1.0,14,FLT3
Q002,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,1,1,1.0,15,ALK
Q003,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,1,1,1.0,14,EGFR
Q004,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,3,3,1.0,45,"NTRK1, NTRK2, NTRK3"
Q005,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,1,1,1.0,14,RET
Q006,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,1,1,1.0,44,KRAS
Q007,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,1,1,1.0,15,MET
Q008,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,2,2,1.0,28,"BCR, ABL1"
Q009,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,1,1,1.0,14,PIK3CA
Q010,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,1,1,1.0,14,FGFR3
Q011,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,1,1,1.0,30,BRAF
Q012,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,1,1,1.0,14,KRAS
Q013,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,1,1,1.0,14,EGFR
Q014,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,2,2,1.0,28,"KIT, PDGFRA"
Q015,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,1,1,1.0,14,EGFR
Q016,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,1,1,1.0,29,ERBB2
Q017,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,1,1,1.0,14,IDH1
Q018,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,2,2,1.0,28,"IDH1, IDH2"
Q019,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,1,1,1.0,14,ALK
Q020,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,1,1,1.0,16,BRAF
Q021,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,1,1,1.0,30,BRAF
Q022,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,2,2,1.0,28,"RET, NTRK3"
Q023,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,1,1,1.0,58,KRAS
Q024,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,4,4,1.0,56,"NTRK1, NTRK2, NTRK3, ROS1"
Q025,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,1,1,1.0,14,ERBB2
Q026,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,1,1,1.0,14,IDH2
Q027,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,2,2,1.0,30,"BRCA1, BRCA2"
Q028,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,1,1,1.0,14,ALK
Q029,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,1,1,1.0,14,BRAF
Q030,2,drug_to_gene_cdx,graphrag,1.0,1.0,1.0,1.0,1,1,1.0,14,EGFR
