case_id,kb_coverage,alteration_type,gr_dac,zs_dac,gr_pmid_cov,zs_pmid_cov,gr_hallucination,zs_hallucination,gr_escat,zs_escat,gr_score_tot,zs_score_tot,gr_compl,zs_compl,gr_utilita,zs_utilita,gr_fedelta,zs_fedelta,gr_accur,zs_accur
BENCH-001,COVERED,point_mutation,True,True,True,False,0.0,1.0,True,False,3.0,4.25,3.5,4.0,3.0,4.0,2.0,4.5,3.5,4.5
BENCH-002,COVERED,fusion,True,True,True,False,0.0,1.0,True,False,4.25,4.4,4.0,4.0,4.5,4.0,4.0,5.0,4.5,4.5
BENCH-003,COVERED,point_mutation,True,True,True,False,0.0,1.0,True,False,3.5,3.125,3.5,3.5,3.0,3.0,5.0,2.5,2.5,3.5
BENCH-004,COVERED,cna,True,True,True,False,0.0,1.0,True,False,4.375,4.125,4.5,4.0,4.5,4.0,4.0,4.5,4.5,4.0
BENCH-005,COVERED,point_mutation,True,True,True,False,0.0,1.0,True,False,4.25,4.125,3.5,4.0,4.0,4.5,5.0,3.5,4.5,4.5
BENCH-006,COVERED,fusion,True,True,False,False,0.0,1.0,True,False,3.375,3.875,4.0,3.5,3.0,3.0,4.0,5.0,2.5,4.0
BENCH-007,COVERED,point_mutation,True,True,True,False,0.0,1.0,True,False,4.25,3.875,4.0,3.5,4.0,4.0,4.5,4.0,4.5,4.0
BENCH-008,COVERED,point_mutation,True,True,True,False,0.0,1.0,True,False,3.75,4.25,3.5,4.0,4.0,4.0,3.0,4.5,4.5,4.5
BENCH-009,COVERED,atypical,True,True,True,False,0.0,1.0,True,False,3.125,3.25,3.5,3.5,3.0,3.5,2.5,2.0,3.5,4.0
BENCH-010,COVERED,itd,True,True,True,False,0.0,1.0,True,False,4.0,3.875,4.0,3.5,4.5,3.0,4.0,4.5,3.5,4.5
BENCH-011,COVERED,point_mutation,True,True,True,False,0.0,1.0,True,False,3.75,4.125,3.5,4.0,3.5,4.0,4.0,4.5,4.0,4.0
BENCH-012,COVERED,point_mutation,True,True,True,False,0.0,1.0,True,False,3.25,4.375,3.5,4.0,3.5,4.0,3.0,5.0,3.0,4.5
BENCH-013,COVERED,point_mutation,True,True,False,False,,1.0,True,False,2.75,3.4,3.0,3.5,3.0,2.5,1.0,3.5,4.0,4.0
BENCH-014,COVERED,point_mutation,True,True,False,False,0.0,1.0,True,False,3.625,4.625,3.5,4.0,3.0,4.5,4.5,5.0,3.5,5.0
BENCH-015,COVERED,fusion,True,True,True,False,0.0,1.0,True,False,4.0,3.5,3.5,3.5,3.0,3.0,5.0,4.0,4.5,3.5
BENCH-016,COVERED,fusion,True,True,False,False,0.0,1.0,True,False,4.125,4.5,3.5,4.0,4.5,4.0,4.0,5.0,4.5,5.0
BENCH-017,COVERED,biomarker,True,True,False,False,0.0,1.0,True,False,3.125,4.625,3.0,4.0,3.5,4.5,2.0,5.0,4.0,5.0
BENCH-018,COVERED,point_mutation,True,False,True,False,0.0,1.0,True,False,2.75,4.5,3.5,4.5,3.0,4.0,2.5,5.0,2.0,4.5
BENCH-019,COVERED,atypical,True,True,True,False,0.0,1.0,True,False,4.0,3.5,4.5,3.5,3.0,3.0,5.0,4.0,3.5,3.5
BENCH-020,COVERED,point_mutation,True,True,True,False,0.0,1.0,True,False,4.25,3.75,4.5,3.0,3.5,3.0,5.0,5.0,4.0,4.0
BENCH-021,COVERED,cna,True,True,True,False,0.0,1.0,True,False,4.5,3.375,4.0,3.0,4.5,2.5,5.0,4.5,4.5,3.5
BENCH-022,COVERED,point_mutation,True,True,True,False,0.0,1.0,True,False,4.375,3.75,3.5,4.0,4.5,4.0,5.0,2.5,4.5,4.5
BENCH-023,COVERED,biomarker,True,True,False,False,0.0,1.0,True,False,3.625,3.75,3.5,3.5,2.5,3.5,5.0,4.0,3.5,4.0
BENCH-024,COVERED,atypical,True,True,False,False,0.0,1.0,True,False,3.875,3.375,3.5,4.0,3.5,3.5,4.0,2.0,4.5,4.0
BENCH-025,COVERED,point_mutation,True,True,False,False,0.0,1.0,True,False,4.0,3.875,3.5,3.5,4.0,4.0,4.0,4.0,4.5,4.0
BENCH-026,COVERED,fusion,True,True,False,False,0.0,1.0,True,False,4.125,3.625,4.0,3.5,3.5,3.5,4.5,4.0,4.5,3.5
BENCH-027,COVERED,atypical,True,True,True,False,0.0,1.0,True,False,3.5,3.0,3.5,4.0,4.0,3.5,2.5,2.0,4.0,2.5
BENCH-028,COVERED,fusion,True,True,True,False,0.0,1.0,True,False,3.75,4.0,3.0,3.5,3.0,3.5,5.0,5.0,4.0,4.0
BENCH-029,COVERED,point_mutation,True,True,False,False,0.0,1.0,True,False,3.375,4.25,3.5,4.0,3.0,4.0,3.5,5.0,3.5,4.0
BENCH-030,COVERED,cna,True,True,False,False,0.0,1.0,True,False,4.375,4.5,3.5,4.25,4.5,4.5,5.0,5.0,4.5,4.25
