value_class,original_value,normalized_value,count,scope,notes
ESCAT,I-A,,0,active_graph_and_claims,"nessun record con contesto ESCAT"
ESCAT,I-B,,0,active_graph_and_claims,"nessun record con contesto ESCAT"
ESCAT,I-C,,0,active_graph_and_claims,"nessun record con contesto ESCAT"
ESCAT,II-A,,0,active_graph_and_claims,"nessun record con contesto ESCAT"
ESCAT,II-B,,0,active_graph_and_claims,"nessun record con contesto ESCAT"
ESCAT,III-A,,0,active_graph_and_claims,"nessun record con contesto ESCAT"
ESCAT,III-B,,0,active_graph_and_claims,"nessun record con contesto ESCAT"
ESCAT,IV-A,,0,active_graph_and_claims,"nessun record con contesto ESCAT"
ESCAT,IV-B,,0,active_graph_and_claims,"nessun record con contesto ESCAT"
ESCAT,V,,0,active_graph_and_claims,"nessun record con contesto ESCAT"
ESCAT,X,,0,active_graph_and_claims,"nessun record con contesto ESCAT"
ESCAT_GENERIC,I,,0,active_graph_and_claims,"nessun record con contesto ESCAT"
ESCAT_GENERIC,II,,0,active_graph_and_claims,"nessun record con contesto ESCAT"
ESCAT_GENERIC,III,,0,active_graph_and_claims,"nessun record con contesto ESCAT"
ESCAT_GENERIC,IV,,0,active_graph_and_claims,"nessun record con contesto ESCAT"
ESCAT_UNRECOGNIZED,,,0,active_graph_and_claims,"nessun valore ESCAT non standard rilevato"
MISSING_ESCAT,,,4860,graph_snapshot_schema,"Evidence nodes have no ESCAT property in the local schema"
MISSING_ESCAT,,,148,active_qualified_claims,"all 148 active claims lack ESCAT fields"
NON_ESCAT_EVIDENCE_LEVEL,A,,18,local_audit_raw_records,"original Evidence.evidence_level; not normalized to ESCAT"
NON_ESCAT_EVIDENCE_LEVEL,B,,26,local_audit_raw_records,"original Evidence.evidence_level; not normalized to ESCAT"
NON_ESCAT_EVIDENCE_LEVEL,C,,15,local_audit_raw_records,"original Evidence.evidence_level; not normalized to ESCAT"
NON_ESCAT_EVIDENCE_LEVEL,D,,32,local_audit_raw_records,"original Evidence.evidence_level; not normalized to ESCAT"
NON_ESCAT_EVIDENCE_LEVEL,LEVEL_2,,1,local_audit_raw_records,"original Evidence.evidence_level; not normalized to ESCAT"
NON_ESCAT_EVIDENCE_LEVEL,LEVEL_3A,,1,local_audit_raw_records,"original Evidence.evidence_level; not normalized to ESCAT"
NON_ESCAT_EVIDENCE_LEVEL,LEVEL_R2,,4,local_audit_raw_records,"original Evidence.evidence_level; not normalized to ESCAT"
