claim_id,claim_domain,claim_type,direction,graph_evidence_id,biomarker_status,disease_status,intervention_status,direction_status,tumour_context_status,evidence_type_status,study_design_status,prospective_retrospective_status,randomization_status,endpoint_status,clinical_response_status,survival_status,preclinical_status,in_vivo_status,in_vitro_status,in_silico_status,approval_status,source_status,identifier_status,source_unit_status,locator_status,text_status,assessment_status,tier,reason_codes,notes
CLM-01aba27a2fb14d531e2d,therapeutic,atomic_intervention_claim,sensitivity,evidence:100001,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-0269a5c7db107cd8a893,therapeutic,atomic_intervention_claim,sensitivity,evidence:963,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-02e4c1aec896020b2f8a,therapeutic,atomic_intervention_claim,sensitivity,evidence:276,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-05cfe6e3eb14e9a7e4c5,therapeutic,atomic_intervention_claim,sensitivity,evidence:7363,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-074de0af80e7ed34d41a,therapeutic,atomic_intervention_claim,sensitivity,evidence:982,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-091cf6602db85e2a2d41,therapeutic,atomic_intervention_claim,sensitivity,evidence:296,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,AMBIGUOUS,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PARENT_LEVEL_ONLY,PRESENT_IN_LOCAL_TEXT,PRESENT_IN_LOCAL_TEXT,PARTIALLY_ASSIGNABLE,,MISSING_FRAMEWORK_RULE,tier not assigned
CLM-0e59264facd7b2df0e67,therapeutic,atomic_intervention_claim,resistance,evidence:1484,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,AMBIGUOUS,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PARENT_LEVEL_ONLY,PRESENT_IN_LOCAL_TEXT,PRESENT_IN_LOCAL_TEXT,PARTIALLY_ASSIGNABLE,,MISSING_FRAMEWORK_RULE,tier not assigned
CLM-0f234bc9c53847910521,therapeutic,atomic_intervention_claim,resistance,evidence:100002,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-159208efa2462a277ce8,therapeutic,atomic_intervention_claim,resistance,evidence:766,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-1bdedb4c451fe79a073f,therapeutic,atomic_intervention_claim,sensitivity,evidence:11598,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-1d3ba8b6ae49232969c7,therapeutic,atomic_intervention_claim,sensitivity,evidence:7329,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-1d3f469e0b264de4d203,therapeutic,atomic_intervention_claim,sensitivity,evidence:1236,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-1da32e197ff9793e6508,therapeutic,atomic_intervention_claim,sensitivity,evidence:885,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-1e4f404ac84ee591fbda,therapeutic,atomic_intervention_claim,sensitivity,evidence:5908,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-1e701d1f8bedef0977f8,therapeutic,atomic_intervention_claim,sensitivity,evidence:6183,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-1ebe76eee72069c364bc,therapeutic,atomic_intervention_claim,sensitivity,evidence:5922,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-1ee5f9a16a678cebf993,therapeutic,atomic_intervention_claim,sensitivity,evidence:4294,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-1fc4af943701d57d45ad,therapeutic,atomic_intervention_claim,sensitivity,evidence:229,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,AMBIGUOUS,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PARENT_LEVEL_ONLY,PRESENT_IN_LOCAL_TEXT,PRESENT_IN_LOCAL_TEXT,PARTIALLY_ASSIGNABLE,,MISSING_FRAMEWORK_RULE,tier not assigned
CLM-20292f9f996547b64fc1,therapeutic,atomic_intervention_claim,resistance,evidence:767,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-223c1a096e9c2bc4468d,therapeutic,atomic_intervention_claim,resistance,evidence:100004,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-2617b2ea2379aff519b2,therapeutic,atomic_intervention_claim,sensitivity,evidence:1352,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-29aec477ec47a23eec35,therapeutic,atomic_intervention_claim,resistance,evidence:440,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-2af742d7109f4b5d3c4f,therapeutic,atomic_intervention_claim,resistance,evidence:33,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-2b2bbb0ab0316ff848a8,therapeutic,atomic_intervention_claim,sensitivity,evidence:1397,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-2cafbc4185d367ed50bd,therapeutic,atomic_intervention_claim,sensitivity,evidence:12542,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-2ef645b79a7d21ef1136,therapeutic,atomic_intervention_claim,resistance,evidence:237,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-2f29179857d3b3953834,therapeutic,atomic_intervention_claim,sensitivity,evidence:2621,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-311fb18411303def51f1,therapeutic,atomic_intervention_claim,sensitivity,evidence:883,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-32754dd8ee5d24de665b,therapeutic,atomic_intervention_claim,sensitivity,evidence:4285,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-347f2a636ebc43972ab8,therapeutic,atomic_intervention_claim,sensitivity,evidence:9225,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-35120fc8e653a16cae3b,therapeutic,atomic_intervention_claim,resistance,evidence:32,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-382985ec558808784e70,therapeutic,atomic_intervention_claim,sensitivity,evidence:11219,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-395b56e071be2f1cd458,therapeutic,atomic_intervention_claim,sensitivity,evidence:2629,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-3d26401c2cabcad4b409,therapeutic,atomic_intervention_claim,sensitivity,evidence:2157,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-3d66398af20ebdb6fcfe,therapeutic,atomic_intervention_claim,sensitivity,evidence:1918,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
CLM-3da7dfefece93692b2a2,therapeutic,atomic_intervention_claim,resistance,evidence:765,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,PRESENT_STRUCTURED,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,UNASSIGNABLE,,MISSING_SOURCE_OR_CONTEXT,tier not assigned
