claim_id,graph_evidence_id,legacy_output,legacy_origin,shadow_status,shadow_tier,divergence_type,legacy_risk,notes
CLM-1ee5f9a16a678cebf993,evidence:4294,NOT_OBSERVED_FOR_V3_CLAIM,LEGACY_DERIVED,UNASSIGNABLE,,SHADOW_UNASSIGNABLE,LEGACY_GENERIC_MAPPING,legacy tier was not executed or persisted at qualified-claim level
CLM-4ffe85304f3ef5533b58,evidence:275,NOT_OBSERVED_FOR_V3_CLAIM,LEGACY_DERIVED,PARTIALLY_ASSIGNABLE,,MISSING_FRAMEWORK_RULE,LEGACY_GENERIC_MAPPING,legacy tier was not executed or persisted at qualified-claim level
CLM-4a89bb28592af7ebaccf,evidence:12131,NOT_OBSERVED_FOR_V3_CLAIM,LEGACY_DERIVED,PARTIALLY_ASSIGNABLE,,MISSING_FRAMEWORK_RULE,LEGACY_GENERIC_MAPPING,legacy tier was not executed or persisted at qualified-claim level
CLM-0f234bc9c53847910521,evidence:100002,NOT_OBSERVED_FOR_V3_CLAIM,LEGACY_DERIVED,UNASSIGNABLE,,SHADOW_UNASSIGNABLE,LEGACY_GENERIC_MAPPING,legacy tier was not executed or persisted at qualified-claim level
CLM-01aba27a2fb14d531e2d,evidence:100001,NOT_OBSERVED_FOR_V3_CLAIM,LEGACY_DERIVED,UNASSIGNABLE,,SHADOW_UNASSIGNABLE,LEGACY_GENERIC_MAPPING,legacy tier was not executed or persisted at qualified-claim level
CLM-90e863f00f134fc3cd3d,evidence:1851,NOT_OBSERVED_FOR_V3_CLAIM,LEGACY_DERIVED,PARTIALLY_ASSIGNABLE,,MISSING_FRAMEWORK_RULE,LEGACY_GENERIC_MAPPING,legacy tier was not executed or persisted at qualified-claim level
CLM-5071bb2d8657ac0fbed0,evidence:1853,NOT_OBSERVED_FOR_V3_CLAIM,LEGACY_DERIVED,PARTIALLY_ASSIGNABLE,,MISSING_FRAMEWORK_RULE,LEGACY_GENERIC_MAPPING,legacy tier was not executed or persisted at qualified-claim level
CLM-472dd2b146920f5d4bbb,evidence:295,NOT_OBSERVED_FOR_V3_CLAIM,LEGACY_DERIVED,UNASSIGNABLE,,SHADOW_UNASSIGNABLE,LEGACY_GENERIC_MAPPING,legacy tier was not executed or persisted at qualified-claim level
CLM-d3828905e361102a59a0,evidence:1920,NOT_OBSERVED_FOR_V3_CLAIM,LEGACY_DERIVED,UNASSIGNABLE,,SHADOW_UNASSIGNABLE,LEGACY_GENERIC_MAPPING,legacy tier was not executed or persisted at qualified-claim level
CLM-beb05cb9a445538bb755,evidence:1913,NOT_OBSERVED_FOR_V3_CLAIM,LEGACY_DERIVED,UNASSIGNABLE,,SHADOW_UNASSIGNABLE,LEGACY_GENERIC_MAPPING,legacy tier was not executed or persisted at qualified-claim level
CLM-8941c177da91f66ff93a,evidence:1846,NOT_OBSERVED_FOR_V3_CLAIM,LEGACY_DERIVED,NOT_APPLICABLE,,REQUIRES_MANUAL_REVIEW,NOT_APPLICABLE,legacy tier was not executed or persisted at qualified-claim level
CLM-a7e1c40b794d2c4d4ca8,evidence:1847,NOT_OBSERVED_FOR_V3_CLAIM,LEGACY_DERIVED,NOT_APPLICABLE,,REQUIRES_MANUAL_REVIEW,NOT_APPLICABLE,legacy tier was not executed or persisted at qualified-claim level
CLM-0e59264facd7b2df0e67,evidence:1484,NOT_OBSERVED_FOR_V3_CLAIM,LEGACY_DERIVED,PARTIALLY_ASSIGNABLE,,MISSING_FRAMEWORK_RULE,LEGACY_GENERIC_MAPPING,legacy tier was not executed or persisted at qualified-claim level
CLM-5ce49705979f72f174e9,evidence:12156,NOT_OBSERVED_FOR_V3_CLAIM,LEGACY_DERIVED,PARTIALLY_ASSIGNABLE,,MISSING_FRAMEWORK_RULE,LEGACY_GENERIC_MAPPING,legacy tier was not executed or persisted at qualified-claim level
CLM-02e4c1aec896020b2f8a,evidence:276,NOT_OBSERVED_FOR_V3_CLAIM,LEGACY_DERIVED,UNASSIGNABLE,,SHADOW_UNASSIGNABLE,LEGACY_GENERIC_MAPPING,legacy tier was not executed or persisted at qualified-claim level
CLM-3e1055de8da3589f422e,evidence:100003,NOT_OBSERVED_FOR_V3_CLAIM,LEGACY_DERIVED,UNASSIGNABLE,,SHADOW_UNASSIGNABLE,LEGACY_GENERIC_MAPPING,legacy tier was not executed or persisted at qualified-claim level
