registry_key,canonical_id,label,entity_type,synonyms,parents,children,source,version
disease:cca,,cca,disease,bile duct cancer | biliary tract cancer | cca | cholangiocarcinoma,,disease:cholangiolocellular carcinoma | disease:extrahepatic cholangiocarcinoma | disease:icca | disease:perihilar cholangiocarcinoma,benchmarks/mtb_evidence/pilot/audit_lib/disease.py::_SYNONYM_GROUPS,verified-local-disease-aliases/1.0
disease:icca,,icca,disease,icca | intrahepatic bile duct carcinoma | intrahepatic cholangiocarcinoma,disease:cca,,benchmarks/mtb_evidence/pilot/audit_lib/disease.py::_SYNONYM_GROUPS,verified-local-disease-aliases/1.0
disease:lung adenocarcinoma,,lung adenocarcinoma,disease,adenocarcinoma of the lung | lung adenocarcinoma,disease:nsclc,,benchmarks/mtb_evidence/pilot/audit_lib/disease.py::_SYNONYM_GROUPS,verified-local-disease-aliases/1.0
disease:nsclc,,nsclc,disease,lung non-small cell carcinoma | non small cell lung cancer | non-small cell lung cancer | non-small cell lung carcinoma | nsclc | nsclc lung cancer,,disease:lung adenocarcinoma | disease:lung squamous cell carcinoma,benchmarks/mtb_evidence/pilot/audit_lib/disease.py::_SYNONYM_GROUPS,verified-local-disease-aliases/1.0
disease:cholangiolocellular carcinoma,,cholangiolocellular carcinoma,disease,cholangiolocellular carcinoma,disease:cca,,benchmarks/mtb_evidence/pilot/audit_lib/disease.py::_SUBTYPE_OF,verified-local-disease-hierarchy/1.0
disease:extrahepatic cholangiocarcinoma,,extrahepatic cholangiocarcinoma,disease,extrahepatic cholangiocarcinoma,disease:cca,,benchmarks/mtb_evidence/pilot/audit_lib/disease.py::_SUBTYPE_OF,verified-local-disease-hierarchy/1.0
disease:lung squamous cell carcinoma,,lung squamous cell carcinoma,disease,lung squamous cell carcinoma,disease:nsclc,,benchmarks/mtb_evidence/pilot/audit_lib/disease.py::_SUBTYPE_OF,verified-local-disease-hierarchy/1.0
disease:perihilar cholangiocarcinoma,,perihilar cholangiocarcinoma,disease,perihilar cholangiocarcinoma,disease:cca,,benchmarks/mtb_evidence/pilot/audit_lib/disease.py::_SUBTYPE_OF,verified-local-disease-hierarchy/1.0
intervention:pemigatinib,,pemigatinib,intervention,incb 054828 | incb054828 | pemazyre,,,benchmarks/mtb_evidence/pilot/audit_lib/aliases.py::DRUG_ALIASES,verified-local-drug-aliases/1.0
intervention:futibatinib,,futibatinib,intervention,lytgobi | tas 120 | tas-120,,,benchmarks/mtb_evidence/pilot/audit_lib/aliases.py::DRUG_ALIASES,verified-local-drug-aliases/1.0
intervention:lorlatinib,,lorlatinib,intervention,lorbrena | pf 06463922 | pf-06463922,,,benchmarks/mtb_evidence/pilot/audit_lib/aliases.py::DRUG_ALIASES,verified-local-drug-aliases/1.0
intervention:osimertinib,,osimertinib,intervention,azd 9291 | azd9291 | mereletinib | tagrisso,,,benchmarks/mtb_evidence/pilot/audit_lib/aliases.py::DRUG_ALIASES,verified-local-drug-aliases/1.0
diagnostic:fgfr2::bicc1 fusion,,FGFR2::BICC1 Fusion,diagnostic,,,,benchmarks\mtb_evidence\v3\non_therapeutic_source_closure\diagnostic_claim_reviews.jsonl,local-diagnostic-review/1.0
diagnostic:fgfr2::ahcyl1 fusion,,FGFR2::AHCYL1 Fusion,diagnostic,,,,benchmarks\mtb_evidence\v3\non_therapeutic_source_closure\diagnostic_claim_reviews.jsonl,local-diagnostic-review/1.0
