claim_id,claim_domain,claim_type,parent_id,prior_status,new_status,parent_publications,claim_source_ids_before,claim_source_ids_after,source_unit_id_before,source_unit_id_after,locator_before,locator_after,rule,reason,confidence,ambiguous_source_count,bucket_score_before_after
CLM-1d3ba8b6ae49232969c7,therapeutic,atomic_intervention_claim,GEP-a49c49f450628b94e307,PARENT_ONLY,PARENT_PUBLICATION_AVAILABLE,PUBMED:30420614,,,,,[],[],PARENT_PUBLICATION_ONLY,One parent publication is available without claim-specific mapping.,high,0,case_01:primary:108.0=case_01:primary:108.0|case_02:rejected:0.0=case_02:rejected:0.0|case_03:rejected:0.0=case_03:rejected:0.0|case_04:rejected:0.0=case_04:rejected:0.0
CLM-0f234bc9c53847910521,therapeutic,atomic_intervention_claim,GEP-e85a4cca147f64591ac6,PARENT_ONLY,AMBIGUOUS_PARENT_PROVENANCE,PUBMED:24736079|PUBMED:27130468|PUBMED:27432227|PUBMED:29373100|PUBMED:29376144|PUBMED:29650534,,,,,[],[],PARENT_HAS_MULTIPLE_PUBLICATIONS,Multiple parent publications have no claim-specific mapping.,high,6,case_01:rejected:0.0=case_01:rejected:0.0|case_02:primary:108.0=case_02:primary:108.0|case_03:rejected:0.0=case_03:rejected:0.0|case_04:rejected:0.0=case_04:rejected:0.0
CLM-1ee5f9a16a678cebf993,therapeutic,atomic_intervention_claim,GEP-d1fd81616ff16e60d884,PARENT_ONLY,PARENT_PUBLICATION_AVAILABLE,PUBMED:24893891,,,,,[],[],PARENT_PUBLICATION_ONLY,One parent publication is available without claim-specific mapping.,high,0,case_01:rejected:0.0=case_01:rejected:0.0|case_02:rejected:0.0=case_02:rejected:0.0|case_03:primary:108.0=case_03:primary:108.0|case_04:rejected:0.0=case_04:rejected:0.0
CLM-382985ec558808784e70,therapeutic,atomic_intervention_claim,GEP-0d4f2ac1784f2bf98fb0,PARENT_ONLY,PARENT_PUBLICATION_AVAILABLE,PUBMED:32955177,,,,,[],[],PARENT_PUBLICATION_ONLY,One parent publication is available without claim-specific mapping.,high,0,case_01:rejected:0.0=case_01:rejected:0.0|case_02:rejected:0.0=case_02:rejected:0.0|case_03:primary:108.0=case_03:primary:108.0|case_04:rejected:0.0=case_04:rejected:0.0
CLM-d4bee44e07efb6ccca9f,therapeutic,atomic_intervention_claim,GEP-3ac81542eaab9340c7f6,PARENT_ONLY,PARENT_PUBLICATION_AVAILABLE,PUBMED:37937763,,,,,[],[],PARENT_PUBLICATION_ONLY,One parent publication is available without claim-specific mapping.,high,0,case_01:rejected:0.0=case_01:rejected:0.0|case_02:rejected:0.0=case_02:rejected:0.0|case_03:primary:108.0=case_03:primary:108.0|case_04:rejected:0.0=case_04:rejected:0.0
CLM-e565f65d73cb1d4aa67b,therapeutic,atomic_intervention_claim,GEP-5f6e4a0e89277128ca53,PARENT_ONLY,PARENT_PUBLICATION_AVAILABLE,PUBMED:15329413,,,,,[],[],PARENT_PUBLICATION_ONLY,One parent publication is available without claim-specific mapping.,high,0,case_01:rejected:0.0=case_01:rejected:0.0|case_02:rejected:0.0=case_02:rejected:0.0|case_03:rejected:0.0=case_03:rejected:0.0|case_04:rejected:0.0=case_04:rejected:0.0
CLM-0269a5c7db107cd8a893,therapeutic,atomic_intervention_claim,GEP-7bf7f440f0ecb4d376a3,PARENT_ONLY,PARENT_PUBLICATION_AVAILABLE,PUBMED:24893891,,,,,[],[],PARENT_PUBLICATION_ONLY,One parent publication is available without claim-specific mapping.,high,0,case_01:rejected:0.0=case_01:rejected:0.0|case_02:rejected:0.0=case_02:rejected:0.0|case_03:rejected:0.0=case_03:rejected:0.0|case_04:rejected:0.0=case_04:rejected:0.0
CLM-6016e0878e055658200e,therapeutic,atomic_intervention_claim,GEP-63c7f92674ee1dc763f0,PARENT_ONLY,PARENT_PUBLICATION_AVAILABLE,DOI:10.1182/blood-2022-163099,,,,,[],[],PARENT_PUBLICATION_ONLY,One parent publication is available without claim-specific mapping.,high,0,case_01:rejected:0.0=case_01:rejected:0.0|case_02:rejected:0.0=case_02:rejected:0.0|case_03:rejected:0.0=case_03:rejected:0.0|case_04:rejected:0.0=case_04:rejected:0.0
CLM-0e59264facd7b2df0e67,therapeutic,atomic_intervention_claim,GEP-b00b74970f6f903b92af,VERIFIED_LOCATOR,CLAIM_VERIFIED_LOCATOR,PUBMED:25393796,PMID:25393796,PMID:25393796,SU-25393796-patient-eml4-alk-i1171s,SU-25393796-patient-eml4-alk-i1171s,"[{""source_id"": ""PMID:25393796"", ""text"": ""abstract, clausola sulla resistenza acquisita ad alectinib, paziente con EML4-ALK variante 3a/b""}]","[{""source_id"": ""PMID:25393796"", ""text"": ""abstract, clausola sulla resistenza acquisita ad alectinib, paziente con EML4-ALK variante 3a/b""}]",EXISTING_CLAIM_MAPPING,Claim already contains source unit and locator.,high,0,case_01:rejected:0.0=case_01:rejected:0.0|case_02:rejected:0.0=case_02:rejected:0.0|case_03:rejected:0.0=case_03:rejected:0.0|case_04:rejected:0.0=case_04:rejected:0.0
CLM-5ce532268b4aa1661311,therapeutic,atomic_intervention_claim,GEP-93cad24e63b228b720bb,VERIFIED_LOCATOR,CLAIM_VERIFIED_LOCATOR,PUBMED:26698910,PMID:26698910,PMID:26698910,SU-26698910-patient-c1156y-crizotinib-first-line|SU-26698910-patient-c1156y-crizotinib-rechallenge,SU-26698910-patient-c1156y-crizotinib-first-line|SU-26698910-patient-c1156y-crizotinib-rechallenge,"[{""source_id"": ""PMID:26698910"", ""text"": ""full_text, Case Report, biopsia del linfonodo in progressione durante crizotinib con riscontro di ALK C1156Y""}]","[{""source_id"": ""PMID:26698910"", ""text"": ""full_text, Case Report, biopsia del linfonodo in progressione durante crizotinib con riscontro di ALK C1156Y""}]",EXISTING_CLAIM_MAPPING,Claim already contains source unit and locator.,high,0,case_01:rejected:0.0=case_01:rejected:0.0|case_02:rejected:0.0=case_02:rejected:0.0|case_03:rejected:0.0=case_03:rejected:0.0|case_04:rejected:0.0=case_04:rejected:0.0
