module,path,loc,classification,reached_by_api_main,reached_by_research_api,reached_by_legacy_api,reached_by_evaluation,reached_by_scripts,reached_by_tests
backend,backend/__init__.py,1,DEAD_OR_UNREACHABLE,False,False,False,False,False,False
backend.api,backend/api/__init__.py,1,DEAD_OR_UNREACHABLE,False,False,False,False,False,False
backend.api.main,backend/api/main.py,52,CANONICAL_RUNTIME,True,False,False,False,False,True
backend.api.research_routes,backend/api/research_routes.py,470,CANONICAL_RUNTIME,True,True,False,False,False,True
backend.api.routes,backend/api/routes.py,365,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.api.schemas,backend/api/schemas.py,274,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.api.subgraph,backend/api/subgraph.py,357,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.api.v3_presentation,backend/api/v3_presentation.py,878,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.api.v3_schemas,backend/api/v3_schemas.py,133,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.comparison,backend/comparison/__init__.py,1,DEAD_OR_UNREACHABLE,False,False,False,False,False,False
backend.comparison.live_runs,backend/comparison/live_runs.py,246,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.comparison.service,backend/comparison/service.py,747,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.evaluation,backend/evaluation/__init__.py,1,DEAD_OR_UNREACHABLE,False,False,False,False,False,False
backend.evaluation.ablation_enricher,backend/evaluation/ablation_enricher.py,240,DEAD_OR_UNREACHABLE,False,False,False,False,False,False
backend.evaluation.ablation_rag,backend/evaluation/ablation_rag.py,216,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.evaluation.ablation_websearch,backend/evaluation/ablation_websearch.py,289,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.evaluation.calculate_objective_metrics_three_way,backend/evaluation/calculate_objective_metrics_three_way.py,137,DEAD_OR_UNREACHABLE,False,False,False,False,False,False
backend.evaluation.compare_results,backend/evaluation/compare_results.py,199,DEAD_OR_UNREACHABLE,False,False,False,False,False,False
backend.evaluation.compute_metrics,backend/evaluation/compute_metrics.py,187,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.evaluation.contraindications,backend/evaluation/contraindications.py,41,DEAD_OR_UNREACHABLE,False,False,False,False,False,False
backend.evaluation.drug_aliases,backend/evaluation/drug_aliases.py,112,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.evaluation.dump_cases,backend/evaluation/dump_cases.py,12,DEAD_OR_UNREACHABLE,False,False,False,False,False,False
backend.evaluation.objective_metrics,backend/evaluation/objective_metrics.py,95,DEAD_OR_UNREACHABLE,False,False,False,False,False,False
backend.evaluation.reevaluate_reports,backend/evaluation/reevaluate_reports.py,161,DEAD_OR_UNREACHABLE,False,False,False,False,False,False
backend.evaluation.run_ablation_second_llm,backend/evaluation/run_ablation_second_llm.py,335,DEAD_OR_UNREACHABLE,False,False,False,False,False,False
backend.evaluation.run_ablation_study,backend/evaluation/run_ablation_study.py,457,DEAD_OR_UNREACHABLE,False,False,False,False,False,False
backend.evaluation.run_benchmark,backend/evaluation/run_benchmark.py,203,TEST_ONLY,False,False,False,False,False,True
backend.evaluation.run_benchmark_enricher,backend/evaluation/run_benchmark_enricher.py,93,DEAD_OR_UNREACHABLE,False,False,False,False,False,False
backend.evaluation.run_zeroshot,backend/evaluation/run_zeroshot.py,272,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.evaluation.run_zeroshot_structured,backend/evaluation/run_zeroshot_structured.py,179,DEAD_OR_UNREACHABLE,False,False,False,False,False,False
backend.evaluation.verify_pmids_pubmed,backend/evaluation/verify_pmids_pubmed.py,268,DEAD_OR_UNREACHABLE,False,False,False,False,False,False
backend.pipeline,backend/pipeline/__init__.py,1,DEAD_OR_UNREACHABLE,False,False,False,False,False,False
backend.pipeline.agentic,backend/pipeline/agentic/__init__.py,1,TEST_ONLY,False,False,False,False,False,True
backend.pipeline.agentic.applicability_validator,backend/pipeline/agentic/applicability_validator.py,262,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.agentic.ledger,backend/pipeline/agentic/ledger.py,296,CANONICAL_RUNTIME,True,True,True,False,False,True
backend.pipeline.agentic.ledger_schema,backend/pipeline/agentic/ledger_schema.py,134,CANONICAL_RUNTIME,True,True,True,False,False,True
backend.pipeline.agentic.regimen_arms,backend/pipeline/agentic/regimen_arms.py,134,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.agentic.runtime,backend/pipeline/agentic/runtime.py,503,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.agentic.source_profile_cache,backend/pipeline/agentic/source_profile_cache.py,136,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.agentic.source_verifier,backend/pipeline/agentic/source_verifier.py,899,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.agents,backend/pipeline/agents/__init__.py,1,DEAD_OR_UNREACHABLE,False,False,False,False,False,False
backend.pipeline.agents.complexity_check,backend/pipeline/agents/complexity_check.py,86,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.agents.judge,backend/pipeline/agents/judge.py,62,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.agents.oncokb_enricher,backend/pipeline/agents/oncokb_enricher.py,145,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.agents.resistance_checker,backend/pipeline/agents/resistance_checker.py,141,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.agents.synthesizer,backend/pipeline/agents/synthesizer.py,127,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.agents.target_identifier,backend/pipeline/agents/target_identifier.py,91,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.agents.trial_dedup,backend/pipeline/agents/trial_dedup.py,35,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.agents.trial_matcher,backend/pipeline/agents/trial_matcher.py,23,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.agents.variant_interpreter,backend/pipeline/agents/variant_interpreter.py,161,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
backend.pipeline.control,backend/pipeline/control/__init__.py,7,LEGACY_RETAINED_FOR_EXPERIMENT,True,False,True,False,False,True
