candidate_id,structure,semantics_status,component_count,components,regimen_id,roles
GCA3-3198cb9ac4e59946e8b10c16,SINGLE_AGENT,NOT_APPLICABLE,1,DAUNORUBICIN HYDROCHLORIDE,RGM-7e961799cb016c4d073a,UNKNOWN
GCA3-8b514ef08394bf58cde1fd2d,SINGLE_AGENT,NOT_APPLICABLE,1,SELUMETINIB SULFATE,RGM-7cc31cff2a54bb097039,UNKNOWN
GCA3-c465b9dcd11616b5ac0a6348,SINGLE_AGENT,NOT_APPLICABLE,1,SELUMETINIB SULFATE,RGM-af542aec6e999f96073f,UNKNOWN
GCA3-7322bc01c4f89707e515d190,SINGLE_AGENT,NOT_APPLICABLE,1,VEMURAFENIB,RGM-e9d6e64fed28ccdecd62,UNKNOWN
GCA3-acaa18f72237ca745eb8bbf1,SINGLE_AGENT,NOT_APPLICABLE,1,IMATINIB,RGM-dc192b84929308459042,UNKNOWN
GCA3-482818324d42a0e57350e04c,SINGLE_AGENT,NOT_APPLICABLE,1,IMATINIB,RGM-c40a8631f7117aee015f,UNKNOWN
GCA3-245712ed2eb30e31d069cca9,SINGLE_AGENT,NOT_APPLICABLE,1,SORAFENIB,RGM-6e306f8a01db8d1506f5,UNKNOWN
GCA3-58c53e75099da63433e5e5af,SINGLE_AGENT,NOT_APPLICABLE,1,IDARUBICIN,RGM-2cea9677d53a1edc768b,UNKNOWN
GCA3-8d008bdb3ef095a0213da35d,SINGLE_AGENT,NOT_APPLICABLE,1,PEGINTERFERON ALFA-2B,RGM-fd5a033fe7943808fb4d,UNKNOWN
GCA3-217aa51ecadfe357e2be1adc,SINGLE_AGENT,NOT_APPLICABLE,1,FEDRATINIB HYDROCHLORIDE,RGM-cb2a7abb2dd56509c79b,UNKNOWN
GCA3-3978caabc164d25524a78935,SINGLE_AGENT,NOT_APPLICABLE,1,TANESPIMYCIN,RGM-df219fafb8c3442fbd4d,UNKNOWN
GCA3-aa6a2cf54bd0b2da45753eb1,SINGLE_AGENT,NOT_APPLICABLE,1,TEMOZOLOMIDE,RGM-b9dee01ee268f6012b46,UNKNOWN
GCA3-9f4cc416b8301de75910c15c,SINGLE_AGENT,NOT_APPLICABLE,1,TEMOZOLOMIDE,RGM-2fcee44e63f0b87c328a,UNKNOWN
GCA3-ae454da730c1fe32fffdcf3f,SINGLE_AGENT,NOT_APPLICABLE,1,CRIZOTINIB,RGM-7d3fb4054c9a0ba1ec01,UNKNOWN
GCA3-90c383f4392a64891ee5ed9c,SINGLE_AGENT,NOT_APPLICABLE,1,CRIZOTINIB,RGM-6e08bf73f207da4b02ed,UNKNOWN
GCA3-1ec889bcc6b0ef3e3592f8aa,MULTI_COMPONENT_UNRESOLVED,SEMANTICS_UNAVAILABLE_IN_SOURCE,3,SORAFENIB|IMATINIB|NILOTINIB,RGM-4a4db7912b5e85f49759,UNKNOWN
