candidate_id,regimen_id,component_count,components,semantics_status,limitations
GCA3-1ec889bcc6b0ef3e3592f8aa,RGM-4a4db7912b5e85f49759,3,SORAFENIB|IMATINIB|NILOTINIB,SEMANTICS_UNAVAILABLE_IN_SOURCE,REGIMEN_SEMANTICS_UNAVAILABLE_IN_EXPORT
GCA3-2f741f597c67a77c1c2e281d,RGM-26fe82d3c2849f4c4881,2,ERLOTINIB|GEFITINIB,SEMANTICS_UNAVAILABLE_IN_SOURCE,REGIMEN_SEMANTICS_UNAVAILABLE_IN_EXPORT
GCA3-84a94e34061076e55d036b81,RGM-d56cbd2f6c0d6129c3be,2,TRAMETINIB|MIRDAMETINIB,SEMANTICS_UNAVAILABLE_IN_SOURCE,REGIMEN_SEMANTICS_UNAVAILABLE_IN_EXPORT
GCA3-e8c1d1b326eee4efe9caa087,RGM-4366b0ed98428f51ecf4,2,PANITUMUMAB|SORAFENIB,SEMANTICS_UNAVAILABLE_IN_SOURCE,REGIMEN_SEMANTICS_UNAVAILABLE_IN_EXPORT
GCA3-4f1e6e304cfbe486a7fc082f,RGM-5a0baa2258542da76a21,2,DABRAFENIB|TRAMETINIB,SEMANTICS_UNAVAILABLE_IN_SOURCE,REGIMEN_SEMANTICS_UNAVAILABLE_IN_EXPORT
GCA3-1a50162b0a2222fb575a98f8,RGM-ba57eed726c2bcfa862c,2,TRAMETINIB|DABRAFENIB,SEMANTICS_UNAVAILABLE_IN_SOURCE,REGIMEN_SEMANTICS_UNAVAILABLE_IN_EXPORT
GCA3-4618d957dbd993ee66223274,RGM-ff4b5b90eca27193a7b5,2,NUTLIN-3|PLX-4720,SEMANTICS_UNAVAILABLE_IN_SOURCE,REGIMEN_SEMANTICS_UNAVAILABLE_IN_EXPORT
GCA3-c4a8bee3c37b0415456dd78e,RGM-f7e7fd236c6f0a51a1d4,2,CAPECITABINE|VEMURAFENIB,SEMANTICS_UNAVAILABLE_IN_SOURCE,REGIMEN_SEMANTICS_UNAVAILABLE_IN_EXPORT
GCA3-5cfcfc43df5410a5d6ceb9ef,RGM-9a852d2ed15a0fe98edd,2,DAUNORUBICIN HYDROCHLORIDE|CYTARABINE HYDROCHLORIDE,SEMANTICS_UNAVAILABLE_IN_SOURCE,REGIMEN_SEMANTICS_UNAVAILABLE_IN_EXPORT
GCA3-7d4f24902fa5f51d03ed2e37,RGM-e9b21f2170f4b7b8c858,3,ETOPOSIDE PHOSPHATE|DAUNORUBICIN HYDROCHLORIDE|CYTARABINE HYDROCHLORIDE,SEMANTICS_UNAVAILABLE_IN_SOURCE,REGIMEN_SEMANTICS_UNAVAILABLE_IN_EXPORT
GCA3-0cb5c39a45156617866ce9c6,RGM-ff8a3999b36e13036c12,2,GEFITINIB|ERLOTINIB,SEMANTICS_UNAVAILABLE_IN_SOURCE,REGIMEN_SEMANTICS_UNAVAILABLE_IN_EXPORT
GCA3-ff04aedde5e5c65cf85caa34,RGM-55756bdaac4e5b154f5c,2,ERLOTINIB|GEFITINIB,SEMANTICS_UNAVAILABLE_IN_SOURCE,REGIMEN_SEMANTICS_UNAVAILABLE_IN_EXPORT
GCA3-30cb88c6f7f54e3bd27d939c,RGM-6c4c91c497555711c237,2,CETUXIMAB|PANITUMUMAB,SEMANTICS_UNAVAILABLE_IN_SOURCE,REGIMEN_SEMANTICS_UNAVAILABLE_IN_EXPORT
GCA3-588e4c025d9ebf38cda43352,RGM-caf7dfd01d328e924174,2,NILOTINIB|DASATINIB,SEMANTICS_UNAVAILABLE_IN_SOURCE,REGIMEN_SEMANTICS_UNAVAILABLE_IN_EXPORT
GCA3-13b74836c78c056d4afa7974,RGM-f2bbe2bc29cbc584093d,2,ERLOTINIB|DASATINIB,SEMANTICS_UNAVAILABLE_IN_SOURCE,REGIMEN_SEMANTICS_UNAVAILABLE_IN_EXPORT
GCA3-e0b503bc8952f3100a9be094,RGM-37cc421c887565846892,2,GEFITINIB|ERLOTINIB,SEMANTICS_UNAVAILABLE_IN_SOURCE,REGIMEN_SEMANTICS_UNAVAILABLE_IN_EXPORT
GCA3-116c3b93ec0790bcbebbb8e5,RGM-32773a9aa4e8a64890a5,2,LAPATINIB|NERATINIB MALEATE,SEMANTICS_UNAVAILABLE_IN_SOURCE,REGIMEN_SEMANTICS_UNAVAILABLE_IN_EXPORT
GCA3-d0bf827008b64bdc5badbb1a,RGM-d5f39d180d0bbe227dc7,2,NERATINIB MALEATE|LAPATINIB,SEMANTICS_UNAVAILABLE_IN_SOURCE,REGIMEN_SEMANTICS_UNAVAILABLE_IN_EXPORT
GCA3-e6a51691ea3afd25a78c95ae,RGM-dd0737c8532c990a04f3,2,FULVESTRANT|TAMOXIFEN,SEMANTICS_UNAVAILABLE_IN_SOURCE,REGIMEN_SEMANTICS_UNAVAILABLE_IN_EXPORT
