v2_candidate_id,v3_candidate_id,relation_type,reason_code,notes
GCA-2a02a0db5d304f476c2124a0,GCA3-2bd0607d7affce1d9f31990e,ONE_TO_ONE,PATH_PRESERVED,
GCA-da790db38743a903aabed93d,GCA3-d0a52fcba48fb24af4594224,ONE_TO_ONE,PATH_PRESERVED,
GCA-6c93e0b1e5b63fc38319e148,GCA3-a8bac1ed618932e9387329f1,ONE_TO_ONE,PATH_PRESERVED,
GCA-0b4bf2630d695dd16be9762e,GCA3-e4bd1d558e182f8442403614,ONE_TO_ONE,PATH_PRESERVED,
GCA-03faf6e5ef45ad60b7acf25e,GCA3-16bf1284dedfd91ec787e5fd,ONE_TO_ONE,PATH_PRESERVED,
GCA-36d17026e00f02194adb103f,GCA3-f58b2b0586336b63030ccf03,ONE_TO_ONE,PATH_PRESERVED,
GCA-93ee39d82d07de3d23ae9be8,GCA3-b0389b9b37cca2401ccd2843,ONE_TO_ONE,PATH_PRESERVED,
GCA-64fc70908666bea68b6f890f,GCA3-4563a66271918b1292f245ab,ONE_TO_ONE,PATH_PRESERVED,
GCA-e908643105f7c943cae311cf,GCA3-a14443047ce0d705e4ffd06e,ONE_TO_ONE,PATH_PRESERVED,
GCA-dc88016685d0162e5f411a71,GCA3-6066f193ac53301b76b7c453,ONE_TO_ONE,PATH_PRESERVED,
GCA-8ff53516e73dda6554c3b5aa,GCA3-e8bf61c68feb6e57328b843e,ONE_TO_ONE,PATH_PRESERVED,
GCA-dfd23921f5f5bb876d5e5dc1,GCA3-8d2263d382baefec74cd3180,ONE_TO_ONE,PATH_PRESERVED,
GCA-2cc8c5d8c3e114d907f0f86b,GCA3-9a1348a192cbd676511f8586,ONE_TO_ONE,PATH_PRESERVED,
GCA-4cf2c9a0e3270fe8a27ee914,GCA3-6584d20da671375d3d9970d7,ONE_TO_ONE,PATH_PRESERVED,
GCA-966d56e3f551f87c0d246922,GCA3-3cc14a9a5e90b8d084786c95,ONE_TO_ONE,PATH_PRESERVED,
GCA-f62aa5852cf979a2ee61d23e,GCA3-3127d06fe38ca0e45e87ab7b,ONE_TO_ONE,PATH_PRESERVED,
GCA-d065189153217ff3eb1edc6d,GCA3-c25a86f9ceced3bf08e39961,ONE_TO_ONE,PATH_PRESERVED,
GCA-fad756b260ddb3404ffc15ba,GCA3-0c708fa11a70377335e03647,ONE_TO_ONE,PATH_PRESERVED,
GCA-78b2fee4e78ff54d5a0caafd,GCA3-0118053f9033397fa05a6a00,ONE_TO_ONE,PATH_PRESERVED,
