kind,group_key,size,candidate_ids
semantic,"[""associated_with_resistance_to"", [""Variant:99"", ""d842v"", null, ""Variant""], [""Drug:rxcui:282388"", ""imatinib"", null, ""Drug""], [[""Disease:2"", ""gastrointestinal stromal tumor"", ""DOID:9253"", null], [""disease:label:Gastrointestinal Stromal Tumor"", ""gastrointestinal stromal tumor"", ""DOID:9253.0"", null]], [""pdgfra""], [""d842v""], [[""Gene:5156"", ""pdgfra"", null, ""Gene""], [""Variant:99"", ""d842v"", null, ""Variant""]], [[""Drug:rxcui:282388"", ""imatinib"", null, ""Drug""]], [], ""resistance"", ""predictive"", null]",5,GCA-00e16c83d9144ac87139b7a3|GCA-e08fc9af54db7126eeead2cd|GCA-120e32014d06f4a009cc98c0|GCA-1603b749427cc65256985f51|GCA-67ff1e877d091f12cac3b88c
semantic,"[""associated_with_sensitivity_to"", [""Variant:10"", ""s214c"", null, ""Variant""], [""Drug:rxcui:495881"", ""sorafenib"", null, ""Drug""], [[""Disease:8"", ""lung non-small cell carcinoma"", ""DOID:3908"", null], [""disease:label:Lung Non-small Cell Carcinoma"", ""lung non-small cell carcinoma"", ""DOID:3908.0"", null]], [""araf""], [""s214c""], [[""Gene:369"", ""araf"", null, ""Gene""], [""Variant:10"", ""s214c"", null, ""Variant""]], [[""Drug:rxcui:495881"", ""sorafenib"", null, ""Drug""]], [], ""sensitivity/response"", ""predictive"", null]",2,GCA-1daa3ae558b3d787f0c66c08|GCA-2be6d910e2133bee4bb24705
semantic,"[""associated_with_resistance_to"", [""Variant:94"", ""q61"", null, ""Variant""], [""Drug:rxcui:318341"", ""cetuximab"", null, ""Drug""], [[""Disease:10"", ""colorectal cancer"", ""DOID:9256"", null], [""disease:label:Colorectal Cancer"", ""colorectal cancer"", ""DOID:9256.0"", null]], [""nras""], [""q61""], [[""Gene:4893"", ""nras"", null, ""Gene""], [""Variant:94"", ""q61"", null, ""Variant""]], [[""Drug:rxcui:318341"", ""cetuximab"", null, ""Drug""]], [], ""resistance"", ""predictive"", null]",2,GCA-575ec13d3ac093b4593a8f37|GCA-a251a4856efd2b81af1f8ad7
semantic,"[""associated_with_sensitivity_to"", [""Variant:8"", ""f1174l"", null, ""Variant""], [""Drug:rxcui:1148495"", ""crizotinib"", null, ""Drug""], [[""Disease:12"", ""neuroblastoma"", ""DOID:769"", null], [""disease:label:Neuroblastoma"", ""neuroblastoma"", ""DOID:769.0"", null]], [""alk""], [""f1174l""], [[""Gene:238"", ""alk"", null, ""Gene""], [""Variant:8"", ""f1174l"", null, ""Variant""]], [[""Drug:rxcui:1148495"", ""crizotinib"", null, ""Drug""]], [], ""sensitivity/response"", ""predictive"", null]",2,GCA-5bd8221eb8b9dfbb5e24212c|GCA-3929b3984cccd79c4fe3dce7
semantic,"[""associated_with_sensitivity_to"", [""Variant:12"", ""v600e"", null, ""Variant""], [""Drug:rxcui:263034"", ""panitumumab"", null, ""Drug""], [[""Disease:10"", ""colorectal cancer"", ""DOID:9256"", null], [""disease:label:Colorectal Cancer"", ""colorectal cancer"", ""DOID:9256.0"", null]], [""braf""], [""v600e""], [[""Gene:673"", ""braf"", null, ""Gene""], [""Variant:12"", ""v600e"", null, ""Variant""]], [[""Drug:rxcui:263034"", ""panitumumab"", null, ""Drug""]], [], ""sensitivity/response"", ""predictive"", null]",4,GCA-5b1c1d95576858bb1c7bf2c7|GCA-7c59d3b8fef88d510f58e220|GCA-e2a594fb1b081ad72a14c4ac|GCA-9d41600721c03aca16c86f1f
semantic,"[""associated_with_resistance_to"", [""Variant:12"", ""v600e"", null, ""Variant""], [""Drug:rxcui:1147220"", ""vemurafenib"", null, ""Drug""], [[""Disease:7"", ""melanoma"", ""DOID:1909"", null], [""disease:label:Melanoma"", ""melanoma"", ""DOID:1909.0"", null]], [""braf""], [""v600e""], [[""Gene:673"", ""braf"", null, ""Gene""], [""Variant:12"", ""v600e"", null, ""Variant""]], [[""Drug:rxcui:1147220"", ""vemurafenib"", null, ""Drug""]], [], ""resistance"", ""predictive"", null]",3,GCA-44284d707401595a1f2327f3|GCA-ee6de70e80840c330463e201|GCA-4225e5feed213be2e199fa6d
semantic,"[""associated_with_sensitivity_to"", [""Variant:17"", ""v600"", null, ""Variant""], [""Drug:rxcui:1424911"", ""dabrafenib"", null, ""Drug""], [[""Disease:7"", ""melanoma"", ""DOID:1909"", null], [""disease:label:Melanoma"", ""melanoma"", ""DOID:1909.0"", null]], [""braf""], [""v600""], [[""Gene:673"", ""braf"", null, ""Gene""], [""Variant:17"", ""v600"", null, ""Variant""]], [[""Drug:rxcui:1424911"", ""dabrafenib"", null, ""Drug""]], [], ""sensitivity/response"", ""predictive"", null]",4,GCA-8f409fb9b3716e20d6d8d29a|GCA-c4f39955a3a34352812ad5ef|GCA-5c0efc28562d87d5c6af5408|GCA-809360d4a73dce3167ef984f
semantic,"[""associated_with_sensitivity_to"", [""Variant:17"", ""v600"", null, ""Variant""], [""Drug:fda:TRAMETINIB"", ""trametinib"", null, ""Drug""], [[""Disease:7"", ""melanoma"", ""DOID:1909"", null], [""disease:label:Melanoma"", ""melanoma"", ""DOID:1909.0"", null]], [""braf""], [""v600""], [[""Gene:673"", ""braf"", null, ""Gene""], [""Variant:17"", ""v600"", null, ""Variant""]], [[""Drug:fda:TRAMETINIB"", ""trametinib"", null, ""Drug""]], [], ""sensitivity/response"", ""predictive"", null]",4,GCA-c38c9ddc2e7c7fd97b230ed4|GCA-13d9b8d649dba58f9e48916c|GCA-7b5268ad6f771e98131e097e|GCA-2181bd35b51a928a988ad03c
semantic,"[""associated_with_sensitivity_to"", [""Variant:12"", ""v600e"", null, ""Variant""], [""Drug:fda:TRAMETINIB"", ""trametinib"", null, ""Drug""], [[""Disease:7"", ""melanoma"", ""DOID:1909"", null], [""disease:label:Melanoma"", ""melanoma"", ""DOID:1909.0"", null]], [""braf""], [""v600e""], [[""Gene:673"", ""braf"", null, ""Gene""], [""Variant:12"", ""v600e"", null, ""Variant""]], [[""Drug:fda:TRAMETINIB"", ""trametinib"", null, ""Drug""]], [], ""sensitivity/response"", ""predictive"", null]",5,GCA-da9bf04545209525dc8a819b|GCA-ff52d40da266cbd5b4d4bece|GCA-c5bdfc4c9431691332ddb700|GCA-26cbf6c8455b2263ddc8c8bb|GCA-b61e3c9be3020b1c318bffbb
semantic,"[""associated_with_sensitivity_to"", [""Variant:12"", ""v600e"", null, ""Variant""], [""Drug:rxcui:1424911"", ""dabrafenib"", null, ""Drug""], [[""Disease:7"", ""melanoma"", ""DOID:1909"", null], [""disease:label:Melanoma"", ""melanoma"", ""DOID:1909.0"", null]], [""braf""], [""v600e""], [[""Gene:673"", ""braf"", null, ""Gene""], [""Variant:12"", ""v600e"", null, ""Variant""]], [[""Drug:rxcui:1424911"", ""dabrafenib"", null, ""Drug""]], [], ""sensitivity/response"", ""predictive"", null]",4,GCA-a02968d302b07144cbfa43f2|GCA-dc715a75dae782f7c8d3eb49|GCA-8024edafce114b9c8e35d00c|GCA-d9057f2ed79ca8eeb8042881
