candidate_id,pmid,predicate,intervention,direction,sibling_drug_count,evidence_record_ids
GCA-499353360e32454349d54c68,22081665,associated_with_resistance_to,DAUNORUBICIN HYDROCHLORIDE,Resistance,1,evidence:11
GCA-a75453eec4bdcdf0c5838092,19915144,associated_with_resistance_to,SELUMETINIB SULFATE,Resistance,1,evidence:12
GCA-ccaf853abfd2186cb5c8ef15,19915144,associated_with_resistance_to,SELUMETINIB SULFATE,Resistance,1,evidence:13
GCA-c48f32af9065772e2f799470,23569304,associated_with_resistance_to,VEMURAFENIB,Resistance,1,evidence:14
GCA-00e16c83d9144ac87139b7a3,15928335,associated_with_resistance_to,IMATINIB,Resistance,1,evidence:15
GCA-e08fc9af54db7126eeead2cd,16954519,associated_with_resistance_to,IMATINIB,Resistance,1,evidence:16
GCA-1daa3ae558b3d787f0c66c08,24569458,associated_with_sensitivity_to,SORAFENIB,Sensitivity/Response,1,evidence:17
GCA-f86be82b7f5cde907c204d0c,22081665,associated_with_sensitivity_to,IDARUBICIN,Sensitivity/Response,1,evidence:18
GCA-89dbe60103ac6ece26bb2bc0,16709929,associated_with_sensitivity_to,PEGINTERFERON ALFA-2B,Sensitivity/Response,1,evidence:19
GCA-ed611fae27b4936ce33d6f32,18394554,associated_with_sensitivity_to,FEDRATINIB HYDROCHLORIDE,Sensitivity/Response,1,evidence:20
GCA-2791fb77f2f8fc16a7fcdb49,18375819,associated_with_sensitivity_to,TANESPIMYCIN,Sensitivity/Response,1,evidence:21
GCA-ac116f4595cad0a9b586ed11,21576590,associated_with_sensitivity_to,TEMOZOLOMIDE,Sensitivity/Response,1,evidence:22
GCA-4ca64e41f7941572f9de3421,21576590,associated_with_sensitivity_to,TEMOZOLOMIDE,Sensitivity/Response,1,evidence:23
GCA-76d17a55d4e9836082c9bfad,21030459,associated_with_resistance_to,CRIZOTINIB,Resistance,1,evidence:32
GCA-6739885ff805f6177a21b1ea,21030459,associated_with_resistance_to,CRIZOTINIB,Resistance,1,evidence:33
GCA-b48d3f5b31068b9a622b7d4a,19671763,associated_with_resistance_to,SORAFENIB,Resistance,3,evidence:34
GCA-e15d22b9a37f67793a482054,19671763,associated_with_resistance_to,IMATINIB,Resistance,3,evidence:34
GCA-0a845623d96a0cc457789eb7,19671763,associated_with_resistance_to,NILOTINIB,Resistance,3,evidence:34
GCA-56dff3b32031a1d84c99e4f6,15696205,associated_with_resistance_to,ERLOTINIB,Resistance,2,evidence:35
GCA-8e62308ec7007e14ab4b8850,15696205,associated_with_resistance_to,GEFITINIB,Resistance,2,evidence:35
GCA-575ec13d3ac093b4593a8f37,20619739,associated_with_resistance_to,CETUXIMAB,Resistance,1,evidence:36
